Funding Agencies	Record Count	% of 1,493
Key Research And Development Program Of Shandong Province International Science And Technology Cooperation	3	0.201
Key Research Program Of Frontier Sciences Cas	3	0.201
Main Direction Project Of Chinese Academy Of Sciences	3	0.201
Major Technology Innovation Project Of Hubei Province Of China	3	0.201
Marine Environmental Observation Prediction And Response Network Meopar	3	0.201
Marine Science And Technology Fund Of Shandong Province For Pilot National Laboratory For Marine Science And Technology Qingdao	3	0.201
Multibeam Terrain Detection Laser And Its Application Technology	3	0.201
Nasa Swot Program	3	0.201
National Central University New Faculty Research Award	3	0.201
National Defense Science And Technology Innovation Special Zone Project	3	0.201
National Geospatial Intelligence Agency	3	0.201
National High Resolution Ground Observation System Of China Gf 7	3	0.201
National High Tech Project Of China	3	0.201
National Key Basic Research Program Of China Program 973	3	0.201
National Key R And D Program Of China	3	0.201
National Key Research And Development Project	3	0.201
National Natural Science Foundation Of Guangdong Province	3	0.201
National Special Research Fund For Non Profit Marine Sector	3	0.201
Natural Science Foundation Of Hunan Province	3	0.201
Nsfc Zhejiang Joint Fund For The Integration Of Industrialization And Informatization	3	0.201
Old Dominion University S Climate Change And Sea Level Rise Initiative Ccslri	3	0.201
Open Fund Of State Key Laboratory Of Remote Sensing Science	3	0.201
Open Fund Of State Key Laboratory Of Satellite Ocean Environment Dynamics	3	0.201
Open Research Fund Of Key Laboratory Of Space Utilization Chinese Academy Of Sciences	3	0.201
Operational Support Service System For Natural Resources Satellite Remote Sensing	3	0.201
Outstanding Youth Fund Of China Academy Of Space Technology	3	0.201
Research Council Of Norway	3	0.201
Russian Foundation For Basic Research Rfbr	3	0.201
Scientific Research Fund Of The Second Institute Of Oceanography Mnr	3	0.201
Sdust	3	0.201
Second Tibetan Plateau Scientific Expedition And Research	3	0.201
Second Tibetan Plateau Scientific Expedition And Research Step	3	0.201
Shanghai Dawn Scholar Program	3	0.201
Soa Global Change And Air Sea Interaction Project	3	0.201
Southern Marine Science And Engineering Guangdong Laboratory Guangzhou	3	0.201
Special Fund For High Resolution Images Surveying And Mapping Application System	3	0.201
Startup Foundation For Introducing Talent Of Nanjing University Of Information Science And Technology	3	0.201
State Key Laboratory Of Satellite Ocean Environment Dynamics	3	0.201
State Key Laboratory Of Satellite Ocean Environment Dynamics Second Institute Of Oceanography	3	0.201
State Oceanic Administration	3	0.201
State Scholarship Fund From Chinese Scholarship Council	3	0.201
Strategic Priority Research Program Project Of The Chinese Academy Of Sciences	3	0.201
Youth Fund Of China Marine Telemetry Engineering Research Center	3	0.201
12Th Five Year Plan Of Civil Aerospace Technology Advanced Research Projects	2	0.134
13Th Five Year Informatization Plan Of Chinese Academy Of Sciences	2	0.134
Advance Research Project Of Common Technology	2	0.134
Aoshan Talent Cultivation Program Of Qnlm	2	0.134
Aoshan Talents Program By The Qingdao National Laboratory For Marine Science And Technology	2	0.134
Australian Government	2	0.134
Authenticity Validation Technology Of Elevation Measurement Accuracy Of Gf 7 Laser Altimeter	2	0.134
Basic Research Foundation Of The Key Laboratory Of Geospace Environment And Geodesy Of Ministry Of Education Wuhan University	2	0.134
Basic Scientific Research Fund For National Public Institutes Of China	2	0.134
Beijing Key Laboratory Of Urban Spatial Information Engineering	2	0.134
Beijing Natural Science Foundation	2	0.134
Beijing Talents Foundation	2	0.134
Cas Cafea Program	2	0.134
Cas Interdisciplinary Innovation Team	2	0.134
Cas Key Study Program	2	0.134
Cas Strategic Priority Research Program	2	0.134
Central Guide Local Science And Technology Development Projects	2	0.134
Cgiar	2	0.134
China Manned Space Program	2	0.134
China Postdoctoral Innovative Talent Support Program	2	0.134
China S Hy 2 Satellite Altimeter Mission	2	0.134
Chinese Ministry Of Science And Technology Through The National Basic Research Program	2	0.134
Chongqing Technology Innovation And Application Development Special Project	2	0.134
Class B Project Of Beijing Science And Technology Association Jinqiao Project Seed Fund	2	0.134
Commonwealth Scientific Industrial Research Organisation Csiro	2	0.134
Daad Thematic Network Project	2	0.134
Danida Fellowship Centre	2	0.134
Dawn Scholar Of Shanghai Program	2	0.134
Defence Research Development Organisation Drdo	2	0.134
Department Of Earth Atmospheric And Planetary Sciences In Mit	2	0.134
Disi Australia China Centre	2	0.134
European Commission Joint Research Centre	2	0.134
Federal Ministry Of Education Research Bmbf	2	0.134
Fujian Collaborative Innovation Center For Big Data Applications In Governments	2	0.134
Fulbright Foundation	2	0.134
Fundamental Research Funds For The Central Universities Chd	2	0.134
Fundamental Research Funds For The Central University Of Ministry Education Of China	2	0.134
Future Star Program Of The Chinese Academy Of Sciences	2	0.134
General Research Fund Of Hong Kong Research Grants Council Rgc	2	0.134
German Academic Exchange Service Daad Thematic Network Project	2	0.134
Global Change And Air Sea Interaction	2	0.134
Global Change And Air Sea Interaction Project Of China	2	0.134
Government Of Canada Program World Class Prevention Preparedness And Response For Oil Spills From Ships Initiative	2	0.134
Government Of Canada S Networks Of Centers Of Excellence Program	2	0.134
Guangxi Key Laboratory Of Spatial Information And Geomatics	2	0.134
Guangxi Natural Science Fund For Innovation Research Team	2	0.134
High Performance Computing Center Iocas	2	0.134
High Resolution Remote Sensing Surveying And Mapping Application Demonstration System Research Program	2	0.134
Innovation Group Project Of Southern Marine Science And Engineering Guangdong Laboratory Zhuhai	2	0.134
Innovation Program Of Academy Of Opto Electronics Aoe Chinese Academy Of Science Cas	2	0.134
International Corporation Program Of China	2	0.134
International S T Cooperation Program Of China	2	0.134
International Science And Technology Cooperation Program Of China	2	0.134
International Science Technology Cooperation Program Of China	2	0.134
Ipovar Project	2	0.134
Key Application Generic Technology Of China High Resolution Earth Observation System	2	0.134
Key Foundation Of Institute Of Seismology China Earthquake Administration	2	0.134
Key Laboratory For Digital Land And Resources Of Jiangxi Province East China University Of Technology	2	0.134
Key Laboratory Of Mapping From Space Of Nasmg China	2	0.134
Key Laboratory Of Satellite Mapping Technology And Application National Administration Of Surveying Mapping And Geoinformation	2	0.134
Key Laboratory Of Surveying And Mapping Science And Geospatial Information Technology Of Ministry Of Natural Resources	2	0.134
Key Program For International S T Cooperation Projects Of China	2	0.134
Key Research And Development Program Of The Ministry Of Science And Technology	2	0.134
Key Research Program Of Frontier Sciences Chinese Academy Of Sciences	2	0.134
Knowledge Innovation Foundation Program For Outstanding Young Scholar Of Chinese Academy Of Sciences Cas	2	0.134
Korea East I Program	2	0.134
Labex Cominlabs Grant Seacs	2	0.134
Laboratory For Regional Oceanography And Numerical Modeling	2	0.134
Leverhulme Trust	2	0.134
Liesmars Special Research Funding	2	0.134
Marine Science Technology Fund Of Shandong Province For Pilot National Laboratory For Marine Science And Technology Qingdao	2	0.134
Ministry Of Science And Technology Most Taiwan	2	0.134
Ministry Science And Technology Development Of China Data Sharing Infrastructure Of Earth System Science	2	0.134
Most	2	0.134
Nasa S Ocean Surface Topography Mission	2	0.134
National High Resolution Earth Observation Foundation	2	0.134
National High Resolution Earth Observation Foundation For Young Scientists Of China	2	0.134
National High Resolution Project Of China	2	0.134
National Key Program For Developing Basic Science Of China	2	0.134
National Key Project Of Research And Development Plan Of China	2	0.134
National Key Rd Plan Of China	2	0.134
National Key Research And Development Plan	2	0.134
National Key Research And Development Plan Of China	2	0.134
National Key Research And Development Program Of China China	2	0.134
National Key Research Development Program Of China	2	0.134
National Key Scientific Research Project The South China Sea Deep	2	0.134
National Oceanic Atmospheric Admin Noaa Usa	2	0.134
National Science And Technology Major Project Of The Ministry Of Science And Technology Of China	2	0.134
National Science Fund	2	0.134
National Youth Natural Science Foundation Of China	2	0.134
Natural Science Foundation Of Heilongjiang Province	2	0.134
Nordic Top Level Research Initiative	2	0.134
Nsfc Creative Research Group	2	0.134
Nsfc Shandong Joint Fund For Marine Science Research Centres	2	0.134
Open Project Program Of State Key Laboratory Of Tropical Oceanography	2	0.134
Open Research Fund Of Southwest China Institute Of Electronic Technology	2	0.134
Open Research Fund Program Of The State Key Laboratory Of Geodesy And Earth S Dynamics	2	0.134
Outstanding Youth Science Fund Of Xi An University Of Science And Technology	2	0.134
Petrochina Innovation Foundation	2	0.134
Program For Chinese National Antarctic And Arctic Research Expedition	2	0.134
Program Of Shanghai Academic Technology Research Leader	2	0.134
Project Of Global Change And Air Sea Interaction	2	0.134
Public Science And Technology Research Funds Projects Of Survey	2	0.134
Research And Development Of Forest Resources Dynamic Monitoring And Forest Volume Estimation Using Lidar Remote Sensing	2	0.134
Research Foundation Of Education Bureau Of Hunan Province China	2	0.134
Royal Society International Exchanges Award	2	0.134
Royal Society Of London	2	0.134
Sanya Institute Of Deep Sea Science And Engineering	2	0.134
Scientific And Technological Innovation Project Of The Qingdao National Laboratory For Marine Science And Technology	2	0.134
Scientific Research And Equipment Development Project Of Chinese Academy Of Sciences	2	0.134
Scientific Research Fund Of The Second Institute Of Oceanography Soa	2	0.134
Shanghai Foundation For University Youth Scholars	2	0.134
Shanghai Municipal Education Commission Shmec	2	0.134
Shanghai Pujiang Program	2	0.134
Shanghai Rising Star Program	2	0.134
Shanghai S T Innovation Action Plan	2	0.134
Shanghai Shuguang Program	2	0.134
Shanghai Youth Talent Support Program	2	0.134
Sichuan Science And Technology Program	2	0.134
Sino German Cooperation In The Ocean And Polar Research Program Cliflux	2	0.134
Sino German Csc Daad Postdoc Scholarship Program	2	0.134
Special Funding For The Development Of Science And Technology Of Shanghai Ocean University	2	0.134
State Key Basic Research Development Project	2	0.134
State Key Laboratory Of Geodesy And Earth S Dynamics Fund	2	0.134
State Key Laboratory Of Information Engineering In Surveying Mapping And Remote Sensing Fund	2	0.134
State Key Laboratory Of Remote Sensing Science	2	0.134
State Key Laboratory Of Tropical Oceanography	2	0.134
Strategic Priority Program On Space Science The Chinese Academy Of Sciences	2	0.134
Surface Water And Ocean Topography Canada Swot C Program	2	0.134
Taiwan Ministry Of Science And Technology	2	0.134
Teralab Grant Tiamsea	2	0.134
Top Notch Young Talents Program Of China	2	0.134
United States Geological Surveying Usgs Landsat Science Team Program Grant	2	0.134
University Of Colorado	2	0.134
Xi An University Of Science And Technology Cultivation Fund	2	0.134
Young Elite Scientists Sponsorship Program By Hunan Province Of China	2	0.134
111 Project Fund Of China	1	0.067
2018 Special Project For Economic Development Of Guangdong	1	0.067
863 High Technology Program Of The People S Republic Of China	1	0.067
948 Project State Forestry Administration Sfa Of China	1	0.067
A Most Dragon Co Operation Programme	1	0.067
Academy Of Finland	1	0.067
Active And Passive Composite Mapping Technology And Application Project With Visible Infrared And Laser Sensors	1	0.067
Active And Passive Composite Mappingtechnology And Application Project With Visible Infrared And Laser Sensor	1	0.067
Adlerbert Research Foundation	1	0.067
Aeronautical Science Foundation Of China	1	0.067
Aerospace Pre Research Technology Project	1	0.067
Aerospace Science And Technology	1	0.067
Alfred P Sloan Foundation	1	0.067
Alliance Of International Science Organizations	1	0.067
Antarctic Exploration Fundamental Project	1	0.067
Aoshan Elite Scientist Plan	1	0.067
Aoshan Science And Technology Innovation Program	1	0.067
Aoshan Talents Program	1	0.067
Aquatic Climate Change Adaptation And Services Program Accasp Fisheries And Oceans Canada	1	0.067
Arba Minch University Ethiopia	1	0.067
Arctic Challenge For Sustainability Arcs Project Ministry Of Education Culture Sports Science And Technology Of Japan Mext	1	0.067
Arctic European Space Agency	1	0.067
Asia Pacific Space Cooperation Organization Apsco	1	0.067
Atmospheric Administration National Environmental Satellite Data And Information Service Ocean Remote Sensing	1	0.067
Australian Climate Change Science Program Accsp	1	0.067
Australian Dept Of Education And Training	1	0.067
Autonomous And Controllable Special Project For The Surveying And Mapping Of China	1	0.067
Aviation Science Foundation	1	0.067
Banaras Hindu University	1	0.067
Base Of National Defence Scientific Research Fund	1	0.067
Basic Frontier Science Research Program Of The Chinese Academy Of Sciences	1	0.067
Basic Research Operating Funds Of The First Institute Of Oceanography State Oceanic Administration	1	0.067
Basic Research Program Of Jiangsu Province	1	0.067
Basic Research Program Of Science And Technology Projects Of Qingdao	1	0.067
Basic Research Project Of Qingdao Science And Technology Program	1	0.067
Basic Research Work Of Central Scientific Research Institution For Public Welfare	1	0.067
Bds Industrialization Project	1	0.067
Beidou Gnss	1	0.067
Beihang University	1	0.067
Beijing Meteorological Bureau	1	0.067
Beijing Normal University Beijing China	1	0.067
Beijing Outstanding Young Scientist Program	1	0.067
Beijing Youth Talent Support Program	1	0.067
Belmont Forum G8 S Coastal Vulnerability Program Via Australian Research Council	1	0.067
Belmont Forum Igfa G8 Via Us National Science Foundation	1	0.067
Belmont Forum Igfa Nsf Grant Ohio State University Component Of This Research	1	0.067
Belt And Road Special Foundation Of The State Key Laboratory Of Hydrology Water Resources And Hydraulic Engineering	1	0.067
Belt And Road Special Foundation Of The State Key Laboratory Of Hydrology Water Resources And Hydraulic Engineering China	1	0.067
Belt And Road Special Foundation Of The State Key Laboratory Of Hydrology Water Resources And Hydraulic Engineering In China	1	0.067
Bergen Research Foundation	1	0.067
Brazilian Oil Regulatory Agency Anp Agencia Nacional De Petroleo Gas Natural E Biocombustiveis Within The Special Participation Research Project Oceanographic Modeling And Observation Network Remo	1	0.067
Bridging The Gap In Innovations For Disasters Brigaid Project	1	0.067
Bulent Ecevit University	1	0.067
Canadian Space Agency Government Related Initiatives Program	1	0.067
Capacity Building Project Of Local Colleges And Universities Of Shanghai Science And Technology Commission	1	0.067
Cas Alliance Of Field Observation Stations	1	0.067
Cas International Partnership Program	1	0.067
Cas Key Deployment Project Of Centre For Ocean Mega Research Of Science	1	0.067
Cas Key Research Program Of Frontier Sciences	1	0.067
Cas Light Of West China Program	1	0.067
Cas Safea Program	1	0.067
Cas Scholarship Council	1	0.067
Cas Strategic Priority Project	1	0.067
Cas Strategy Pioneering Program	1	0.067
Cas Twas Coe Sdim On Space Technology For Disaster Mitigation In Asia	1	0.067
Center For Global Sea Level Change Cslc Of Nyu Abu Dhabi	1	0.067
Center For Integrated Space Weather Modeling Cism	1	0.067
Central South University	1	0.067
Central University Fundamental Research Fund Of Hohai University Of China	1	0.067
Centre For Southern Hemisphere Oceans Research A Joint Research Centre Between Qnlm And Csiro	1	0.067
Centre For Southern Hemisphere Oceans Research Cshor	1	0.067
Centre National D Etudes Spatiales Cnes Through The Project Terre Solide Ocean Surfaces Continentales Et Atmosphere Tosca	1	0.067
Cernet Innovation Project	1	0.067
Cfosat Project	1	0.067
Chang E 1 Vlbi	1	0.067
China 908 Project	1	0.067
China Coal Industry Association Guidance Program	1	0.067
China Copes Project	1	0.067
China Desert Meteorological Science Research Foundation	1	0.067
China Earthquake Administration	1	0.067
China Hi Tech Project	1	0.067
China High Resolution Earth Observation System	1	0.067
China Major Basic Research Program	1	0.067
China Manned Space Engineering	1	0.067
China Ocean Mineral Resources R D Association Project	1	0.067
China Ocean Mineral Resources Rd Association	1	0.067
China Postdoctoral Fund Project	1	0.067
China Postdoctoral Innovation Talent Support Program	1	0.067
China S National Key Research And Development Projects	1	0.067
China Scholar Council At The University Of Texas At San Antonio	1	0.067
China Scholarship	1	0.067
China Special Fund For Meteorological Research In The Public Interest	1	0.067
China Special Funds For Meteorological Research In The Public Interest	1	0.067
Chinawatersense Project	1	0.067
Chinese Academy Of Sciences Cas Pioneer Hundred Talents Program	1	0.067
Chinese Academy Of Sciences Cas Safea International Partnership Program For Creative Research Teams	1	0.067
Chinese Academy Of Sciences Pilot A Special Project	1	0.067
Chinese Academy Of Sciences Russia	1	0.067
Chinese Academy Of Sciences Special Fund	1	0.067
Chinese Academy Of Sciences The World Academy Of Sciences Cas Twas Presidential Fellowship	1	0.067
Chinese Academy Of Sciences Ukraine	1	0.067
Chinese Academy Sciences Project Western Pacific Ocean System Structure Dynamics And Consequences	1	0.067
Chinese Arctic And Antarctic Administration Ministry Of Natural Resources Of The People S Republic Of China	1	0.067
Chinese French Oceanic Satellite Cfosat Project	1	0.067
Chinese Ministry Of Sciences And Technology	1	0.067
Chinese Polar Environment Comprehensive Investigation And Assessment Programmes	1	0.067
Chinese Polar Environment Comprehensive Investigation And Assessment Programs	1	0.067
Chinese Polar Environmental Comprehensive Investigation And Assessment Program	1	0.067
Chinese Polar Science Strategy Research Foundation	1	0.067
Chinese Polar Strategic Research Foundation	1	0.067
Chinese Science Council	1	0.067
Chongqing Meteorological Department Business Technology Research Project	1	0.067
City University Of Hong Kong	1	0.067
Civil Aerospace Technology Pre Research Project	1	0.067
Civil Aircraft Project Of Ministry Of Industry And Information	1	0.067
Civil Space Technology Pre Research Project Of The Thirteenth Five Year Plan	1	0.067
Civil Space Technology Pre Research Project Satellite Gradiometry Technology	1	0.067
Cma	1	0.067
Cnes French Space Agency Postdoctoral Grant	1	0.067
Cnes Tosca Swot High Resolution Hydrology Project	1	0.067
Co Joint Research And Development Fund	1	0.067
Cold And Arid Regions Environment And Engineering Research Institute	1	0.067
Collaborative Innovation Center For Geo Hazards And Eco Environment In Three Gorges Area Hubei Province	1	0.067
Collaborative Innovation Center Of Geospatial Technology	1	0.067
Collaborative Precision Positioning Project Grant	1	0.067
College Graduate Research And Innovation Projects Of Jiangsu Province Of China	1	0.067
Common Key Technology Projects For Major Special Applications Of High Resolution Earth Observation Systems	1	0.067
Cooperative Institute For Climate Science Princeton University From National Oceanic And Atmospheric Administration U S Department Of Commerce	1	0.067
Cooperative Research Centres Crc Programme	1	0.067
Coordination Funds For Promoting Aerospace Utilization Ministry Of Education Culture Sports Science And Technology Japan	1	0.067
Core Research For Evolutional Science And Technology Crest	1	0.067
Crsri	1	0.067
Crsri Open Research Program	1	0.067
Csc Scholarship	1	0.067
Csu	1	0.067
Curtin International Postgraduate Research Scholarships Ciprs Ord Scholarship By Curtin University Australia	1	0.067
Curtin University	1	0.067
Dalian High Level Talents Innovation Support Plan	1	0.067
Danida Fellowship Centre Eoforchina Project	1	0.067
Dawn Program Of Shanghai Education Commission China	1	0.067
Dayu Scholar Program	1	0.067
Dayu Scholar Program Of Hohai University	1	0.067
Defense Science And Technology Innovation Fund	1	0.067
Delft University Of Technology	1	0.067
Department For Business Innovation And Skills	1	0.067
Department For Environment Food Rural Affairs Defra	1	0.067
Department Of Environment Science Policy And Management University Of California Berkeley	1	0.067
Department Of Industry Innovation And Science	1	0.067
Design And Construction Technology Of Gully Slope Treatment Project Based On Ecological Safety	1	0.067
Deutscher Akademischer Austausch Dienst Daad	1	0.067
Dewfora Ec Fp7 Projects	1	0.067
Dfg Under The Belmont Forum Cra On Coastal Vulnerability	1	0.067
Dfo	1	0.067
Dfo S Aquatic Climate Change Adaptation Services Program Accasp	1	0.067
Dfo S Centre For Ocean Model Development For Applications Comda	1	0.067
Dipartimento Di Scienze Di Base E Fondamenti Of The Urbino University	1	0.067
Director Foundation	1	0.067
Director Innovation Foundation Of Ceode Cas	1	0.067
Director Innovation Foundation Of The Center For Earth Observation And Digital Earth Chinese Academy Of Sciences	1	0.067
Discipline Layout Project For Basic Research Of Shenzhen Science And Technology Innovation Committee	1	0.067
Distinguished Young Scholars In Remote Sensing Of China	1	0.067
Dlr Ao Project	1	0.067
Doctoral Foundation Of Henan Polytechnic University	1	0.067
Doctorate Fellowship Foundation Of Nanjing Forestry University	1	0.067
Dr Excellent Development Fund Of Beihang University	1	0.067
Dragon 3 Cooperation Programme From Both The European Space Agency And The Ministry Of Science And Technology Of China	1	0.067
Dragon 3 Project	1	0.067
Dragon Iii Project Of Esa Most Dragon Cooperation	1	0.067
Dragon Iii Project Of The European Space Agency	1	0.067
Emerging Frontier Area Efa Scheme Of Research Institute For Sustainable Urban Development Risud Of The Hong Kong Polytechnic University	1	0.067
Engineering Physical Sciences Research Council Epsrc	1	0.067
Eoforchina Project	1	0.067
Eoforchina Project Ministry Of Foreign Affairs Of Denmark	1	0.067
Eqc	1	0.067
Equipment Advance Research Project	1	0.067
Esa Dragon 4 Program	1	0.067
Esa Most China Dragon5 Program	1	0.067
Esa Most Dragon 3 Cooperation Program	1	0.067
Esa Most Dragon 4 Cooperation Program	1	0.067
Esa Most Dragon 4 Project	1	0.067
Esa Most Dragon 5 Project	1	0.067
Esa Nrscc Scientific Cooperation Project On Earth Observation Science And Applications Dragon 5	1	0.067
Esa Seom S1oceanstudy Program	1	0.067
Esa Smos Storm Ccn Contract	1	0.067
Essp Icao	1	0.067
European Commission Within The Connecting Europe Facility Cef Transport Sector	1	0.067
European Commission Within The Gmes	1	0.067
European Research Area For Climate Services Era4cs Integrating Sea Level Projections In Climate Services For Coastal Adaptation Inseaption Project	1	0.067
European Space Agency Through The Climate Change Initiative Project On The Antarctic Ice Sheet	1	0.067
European Space Agency Through The Climate Change Initiative Project On The Greenland Ice Sheet	1	0.067
European Space Agency Through The Esa Most Dragon 5 Project	1	0.067
European Union S Horizon 2020 Research And Innovation Programme	1	0.067
European Unionfunded Project Pithia Nrf	1	0.067
Excellent Youth Science Foundation Of Jiangsu Province	1	0.067
