Publication Titles	Record Count	% of 8,505
ANNALS OF GLACIOLOGY SERIES	14	0.165
ICARUS	14	0.165
OCEANOLOGICA ACTA	14	0.165
DYNAMIC PLANET MONITORING AND UNDERSTANDING A DYNAMIC PLANET WITH GEODETIC AND OCEANOGRAPHIC TOOLS	13	0.153
IGARSS 2002 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM AND 24TH CANADIAN SYMPOSIUM ON REMOTE SENSING VOLS I VI PROCEEDINGS	13	0.153
INSTITUTE OF NAVIGATION SATELLITE DIVISION PROCEEDINGS OF THE INTERNATIONAL TECHNICAL MEETING	13	0.153
INTERNATIONAL OFFSHORE AND POLAR ENGINEERING CONFERENCE PROCEEDINGS	13	0.153
ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING	13	0.153
JOURNAL OF GEODETIC SCIENCE	13	0.153
JOURNAL OF GEOPHYSICAL RESEARCH SPACE PHYSICS	13	0.153
JOURNAL OF OCEANOLOGY AND LIMNOLOGY	13	0.153
VISTAS FOR GEODESY IN THE NEW MILLENNIUM	13	0.153
2015 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM IGARSS	12	0.141
ADVANCES IN WATER RESOURCES	12	0.141
IEEE ACCESS	12	0.141
IGARSS 2007 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM VOLS 1 12	12	0.141
INTERNATIONAL JOURNAL OF CLIMATOLOGY	12	0.141
MARINE GEOPHYSICAL RESEARCHES	12	0.141
NATURAL HAZARDS	12	0.141
ORBIT DETERMINATION AND ANALYSIS	12	0.141
PLANETARY AND SPACE SCIENCE	12	0.141
2011 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM IGARSS	11	0.129
ATMOSPHERE OCEAN	11	0.129
BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY	11	0.129
ESTUARINE COASTAL AND SHELF SCIENCE	11	0.129
GRAVITY GEOID AND EARTH OBSERVATION	11	0.129
IGARSS 2001 SCANNING THE PRESENT AND RESOLVING THE FUTURE VOLS 1 7 PROCEEDINGS	11	0.129
IGARSS 2005 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM VOLS 1 8 PROCEEDINGS	11	0.129
INDIAN JOURNAL OF GEO MARINE SCIENCES	11	0.129
JOURNAL OF EARTH SYSTEM SCIENCE	11	0.129
JOURNAL OF THE INDIAN SOCIETY OF REMOTE SENSING	11	0.129
ADVANCES IN ATMOSPHERIC SCIENCES	10	0.118
COASTAL ALTIMETRY	10	0.118
ESA SPECIAL PUBLICATIONS	10	0.118
GEODESY FOR PLANET EARTH PROCEEDINGS OF THE 2009 IAG SYMPOSIUM	10	0.118
GRAVITY GEOID AND SPACE MISSIONS	10	0.118
IAHS PUBLICATION	10	0.118
IGARSS 2000 IEEE 2000 INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM VOL I VI PROCEEDINGS	10	0.118
INDIAN JOURNAL OF MARINE SCIENCES	10	0.118
JOURNAL OF GEOPHYSICAL RESEARCH	10	0.118
JOURNAL OF THE ASTRONAUTICAL SCIENCES	10	0.118
NATURE CLIMATE CHANGE	10	0.118
NATURE COMMUNICATIONS	10	0.118
NATURE GEOSCIENCE	10	0.118
NEW ZEALAND JOURNAL OF MARINE AND FRESHWATER RESEARCH	10	0.118
NONLINEAR PROCESSES IN GEOPHYSICS	10	0.118
PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES	10	0.118
PHYSICS AND CHEMISTRY OF THE EARTH	10	0.118
PHYSICS AND CHEMISTRY OF THE EARTH PART A SOLID EARTH AND GEODESY	10	0.118
ANTARCTIC SCIENCE	9	0.106
ESA BULLETIN EUROPEAN SPACE AGENCY	9	0.106
IGARSS 2004 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM PROCEEDINGS VOLS 1 7	9	0.106
QUARTERLY JOURNAL OF THE ROYAL METEOROLOGICAL SOCIETY	9	0.106
REMOTE SENSING LETTERS	9	0.106
COASTAL ENGINEERING	8	0.094
DOKLADY EARTH SCIENCES	8	0.094
EARTH SCIENCE REVIEWS	8	0.094
GEOPHYSICAL JOURNAL OF THE ROYAL ASTRONOMICAL SOCIETY	8	0.094
JOHNS HOPKINS APL TECHNICAL DIGEST	8	0.094
JOURNAL OF GEOPHYSICAL RESEARCH PLANETS	8	0.094
JOURNAL OF SPACECRAFT AND ROCKETS	8	0.094
MARINE TECHNOLOGY SOCIETY JOURNAL	8	0.094
PHYSICAL OCEANOGRAPHY	8	0.094
PLOS ONE	8	0.094
SURVEY REVIEW	8	0.094
WINDOW ON THE FUTURE OF GEODESY	8	0.094
2014 IEEE OES BALTIC INTERNATIONAL SYMPOSIUM BALTIC	7	0.082
COMPTES RENDUS DE L ACADEMIE DES SCIENCES SERIE II FASCICULE A SCIENCES DE LA TERRE ET DES PLANETES	7	0.082
GEOCARTO INTERNATIONAL	7	0.082
GEODESY AND GEODYNAMICS	7	0.082
GEOLOGY	7	0.082
GEOPHYSICAL MONOGRAPH BOOK SERIES	7	0.082
GEOSCIENTIFIC MODEL DEVELOPMENT	7	0.082
GRAVITY GEOID AND GEODYNAMICS 2000	7	0.082
HYDROLOGICAL SCIENCES JOURNAL JOURNAL DES SCIENCES HYDROLOGIQUES	7	0.082
IAG 150 YEARS	7	0.082
IGARSS 98 1998 INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM PROCEEDINGS VOLS 1 5	7	0.082
NATURAL HAZARDS AND EARTH SYSTEM SCIENCES	7	0.082
OCEANS 2005 VOLS 1 3	7	0.082
OPTICS EXPRESS	7	0.082
PHOTOGRAMMETRIC RECORD	7	0.082
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	7	0.082
REMOTE SENSING OF THE OCEAN AND SEA ICE 2003	7	0.082
RENEWABLE ENERGY	7	0.082
RUSSIAN JOURNAL OF EARTH SCIENCES	7	0.082
SCIENCE IN CHINA SERIES D EARTH SCIENCES	7	0.082
SCIENTIA MARINA	7	0.082
SCIENTIFIC DATA	7	0.082
ANNALES GEOPHYSICAE ATMOSPHERES HYDROSPHERES AND SPACE SCIENCES	6	0.071
APPLIED OPTICS	6	0.071
APPLIED SCIENCES BASEL	6	0.071
BIOGEOSCIENCES	6	0.071
BOLETIM DE CIENCIAS GEODESICAS	6	0.071
EARTH MOON AND PLANETS	6	0.071
ELSEVIER OCEANOGRAPHY SERIES	6	0.071
EPJ WEB OF CONFERENCES	6	0.071
GEODESY BEYOND 2000	6	0.071
GEOSCIENCES	6	0.071
GRAVITY GEOID AND HEIGHT SYSTEMS	6	0.071
IEEE TRANSACTIONS ON AEROSPACE AND ELECTRONIC SYSTEMS	6	0.071
INTERNATIONAL JOURNAL OF DIGITAL EARTH	6	0.071
JOURNAL OF ADVANCES IN MODELING EARTH SYSTEMS	6	0.071
JOURNAL OF GEOPHYSICAL RESEARCH SOLID EARTH AND PLANETS	6	0.071
JOURNAL OF OCEAN UNIVERSITY OF CHINA	6	0.071
MARINE ECOLOGY PROGRESS SERIES	6	0.071
OCEAN WAVE MEASUREMENT AND ANALYSIS VOLS 1 AND 2	6	0.071
OCEANOLOGIA	6	0.071
OCEANS 2003 MTS IEEE CELEBRATING THE PAST TEAMING TOWARD THE FUTURE	6	0.071
PROCEEDINGS OF THE INSTITUTE OF NAVIGATION PACIFIC PNT MEETING	6	0.071
TELLUS SERIES A DYNAMIC METEOROLOGY AND OCEANOGRAPHY	6	0.071
VERTICAL REFERENCE SYSTEMS	6	0.071
XXIII ISPRS CONGRESS COMMISSION VIII	6	0.071
2009 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM VOLS 1 5	5	0.059
ACTA GEOPHYSICA	5	0.059
AIP CONFERENCE PROCEEDINGS	5	0.059
ANNALS OF GEOPHYSICS	5	0.059
ANNALS OF GLACIOLOGY VOL 27 1998	5	0.059
ANNALS OF GLACIOLOGY VOL 39 2004	5	0.059
AQUATIC ECOSYSTEM HEALTH MANAGEMENT	5	0.059
ATMOSPHERE	5	0.059
BULLETIN GEODESIQUE	5	0.059
CLIMATIC CHANGE	5	0.059
EARTH OBSERVATION AND REMOTE SENSING	5	0.059
EARTH ON THE EDGE SCIENCE FOR A SUSTAINABLE PLANET	5	0.059
GUIDANCE AND CONTROL 2010	5	0.059
IEEE AIAA DIGITAL AVIONICS SYSTEMS CONFERENCE	5	0.059
INTERNATIONAL MULTIDISCIPLINARY SCIENTIFIC GEOCONFERENCE SGEM	5	0.059
ISPRS TECHNICAL COMMISSION VIII SYMPOSIUM	5	0.059
JOURNAL OF HYDROMETEOROLOGY	5	0.059
JOURNAL OF PHYSICS CONFERENCE SERIES	5	0.059
LECTURE NOTES IN COMPUTER SCIENCE	5	0.059
MARINE GEOLOGY	5	0.059
OBSERVING OUR CHANGING EARTH	5	0.059
OCEAN COASTAL MANAGEMENT	5	0.059
PHYSICS OF THE EARTH AND PLANETARY INTERIORS	5	0.059
PROCEEDINGS OF THE IEEE	5	0.059
PROGRESS IN PHYSICAL GEOGRAPHY EARTH AND ENVIRONMENT	5	0.059
QUATERNARY SCIENCE REVIEWS	5	0.059
REMOTE SENSING OF THE CHANGING OCEANS	5	0.059
RUSSIAN METEOROLOGY AND HYDROLOGY	5	0.059
SATELLITE DYNAMICS IN THE ERA OF INTERDISCIPLINARY SPACE GEODESY	5	0.059
SCIENCE BULLETIN	5	0.059
TOWARDS AN INTEGRATED GLOBAL GEODETIC OBSERVING SYSTEM IGGOS	5	0.059
WEATHER AND FORECASTING	5	0.059
29TH INTERNATIONAL LASER RADAR CONFERENCE ILRC 29	4	0.047
AFRICAN JOURNAL OF MARINE SCIENCE	4	0.047
ANNALES GEOPHYSICAE	4	0.047
ANNALS OF GLACIOLOGY VOL 34 2002	4	0.047
ANNUAL REVIEW OF MARINE SCIENCE	4	0.047
APPLIED OCEAN RESEARCH	4	0.047
AUSTRALIAN JOURNAL OF EARTH SCIENCES	4	0.047
BULLETIN OF THE SEISMOLOGICAL SOCIETY OF AMERICA	4	0.047
CORAL REEFS	4	0.047
DEEP SEA RESEARCH PART A OCEANOGRAPHIC RESEARCH PAPERS	4	0.047
EARTH SCIENCE INFORMATICS	4	0.047
ENVIRONMENTAL MONITORING AND ASSESSMENT	4	0.047
EUROPEAN JOURNAL OF REMOTE SENSING	4	0.047
GRACE REMOTE SENSING AND GROUND BASED METHODS IN MULTI SCALE HYDROLOGY	4	0.047
IEEE AEROSPACE CONFERENCE PROCEEDINGS	4	0.047
IEEE JOURNAL OF OCEANIC ENGINEERING	4	0.047
IEEE TRANSACTIONS ON ANTENNAS AND PROPAGATION	4	0.047
ISPRS INTERNATIONAL JOURNAL OF GEO INFORMATION	4	0.047
IZVESTIYA PHYSICS OF THE SOLID EARTH	4	0.047
JOURNAL OF APPLIED GEOPHYSICS	4	0.047
JOURNAL OF ASIAN EARTH SCIENCES	4	0.047
JOURNAL OF ATMOSPHERIC AND SOLAR TERRESTRIAL PHYSICS	4	0.047
JOURNAL OF ELECTROMAGNETIC WAVES AND APPLICATIONS	4	0.047
JOURNAL OF GREAT LAKES RESEARCH	4	0.047
JOURNAL OF MARINE SCIENCE AND TECHNOLOGY TAIWAN	4	0.047
JOURNAL OF NAVIGATION	4	0.047
JOURNAL OF THE KOREAN EARTH SCIENCE SOCIETY	4	0.047
JOURNAL OF THE METEOROLOGICAL SOCIETY OF JAPAN	4	0.047
KOREAN JOURNAL OF REMOTE SENSING	4	0.047
LECTURE NOTES IN ELECTRICAL ENGINEERING	4	0.047
LIMNOLOGY AND OCEANOGRAPHY	4	0.047
MICROWAVE REMOTE SENSING OF THE ATMOSPHERE AND ENVIRONMENT III	4	0.047
NEW TRENDS IN SPACE GEODESY	4	0.047
OCEANOGRAPHY FROM SPACE REVISITED	4	0.047
OCEANS 2009 VOLS 1 3	4	0.047
PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY OF LONDON SERIES A MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES	4	0.047
PROCEEDINGS OF THE ASME INTERNATIONAL CONFERENCE ON OCEAN OFFSHORE AND ARCTIC ENGINEERING	4	0.047
PROCEEDINGS OF THE NINTH 1999 INTERNATIONAL OFFSHORE AND POLAR ENGINEERING CONFERENCE VOL III 1999	4	0.047
PROCEEDINGS OF THE ROYAL SOCIETY A MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES	4	0.047
REMOTE SENSING OF THE AFRICAN SEAS	4	0.047
RENDICONTI LINCEI SCIENZE FISICHE E NATURALI	4	0.047
REVISTA DE BIOLOGIA MARINA Y OCEANOGRAFIA	4	0.047
RUSSIAN JOURNAL OF NUMERICAL ANALYSIS AND MATHEMATICAL MODELLING	4	0.047
SPACEFLIGHT MECHANICS 1999 VOL 102 PTS I AND II	4	0.047
2012 WORKSHOP ON REFLECTOMETRY USING GNSS AND OTHER SIGNALS OF OPPORTUNITY GNSS R	3	0.035
35TH INTERNATIONAL SYMPOSIUM ON REMOTE SENSING OF ENVIRONMENT ISRSE35	3	0.035
6TH DIGITAL EARTH SUMMIT	3	0.035
ACSR ADVANCES IN COMPTUER SCIENCE RESEARCH	3	0.035
ACTA GEODAETICA ET GEOPHYSICA	3	0.035
ACTA GEODYNAMICA ET GEOMATERIALIA	3	0.035
ACTA PHYSICA SINICA	3	0.035
ATMOSPHERIC CHEMISTRY AND PHYSICS	3	0.035
ATMOSPHERIC MEASUREMENT TECHNIQUES	3	0.035
BUILDING THE EUROPEAN CAPACITY IN OPERATIONAL OCEANOGRAPHY PROCEEDINGS	3	0.035
CANADIAN JOURNAL OF EARTH SCIENCES	3	0.035
CELESTIAL MECHANICS DYNAMICAL ASTRONOMY	3	0.035
CLIMATE OF THE PAST	3	0.035
CURRENT CLIMATE CHANGE REPORTS	3	0.035
EARTH OBSERVATION WITH CHAMP RESULTS FROM THREE YEARS ORBIT	3	0.035
EARTH SURFACE PROCESSES AND LANDFORMS	3	0.035
ECOLOGICAL MODELLING	3	0.035
ELECTRONICS LETTERS	3	0.035
ENVIRONMENTAL EARTH SCIENCES	3	0.035
ESTONIAN JOURNAL OF EARTH SCIENCES	3	0.035
FIRST CHAMP MISSION RESULTS FOR GRAVITY MAGNETIC AND ATMOSPHERIC STUDIES	3	0.035
FISHERIES OCEANOGRAPHY	3	0.035
FRONTIERS OF EARTH SCIENCE	3	0.035
GEODETSKI VESTNIK	3	0.035
GEOLOGICAL SOCIETY OF AMERICA SPECIAL PAPERS	3	0.035
GEOMORPHOLOGY	3	0.035
GEOPHYSICAL AND ASTROPHYSICAL FLUID DYNAMICS	3	0.035
GEOPHYSICAL JOURNAL OXFORD	3	0.035
GEOPHYSICS	3	0.035
GEOTECTONICS	3	0.035
GISCIENCE REMOTE SENSING	3	0.035
ICES JOURNAL OF MARINE SCIENCE	3	0.035
IEEE GEOSCIENCE AND REMOTE SENSING MAGAZINE	3	0.035
IEEE ION POSITION LOCATION AND NAVIGATION SYMPOSIUM	3	0.035
IEEE TRANSACTIONS ON MICROWAVE THEORY AND TECHNIQUES	3	0.035
INGENIERIA E INVESTIGACION	3	0.035
INTEGRATED COMMUNICATIONS NAVIGATION AND SURVEILLANCE CONFERENCE	3	0.035
INTERNATIONAL CONFERENCE ON GEOMATIC AND GEOSPATIAL TECHNOLOGY GGT 2016	3	0.035
INTERNATIONAL CONFERENCE ON SENSORS MODELS IN REMOTE SENSING PHOTOGRAMMETRY	3	0.035
INTERNATIONAL CONFERENCE ON UNMANNED AIRCRAFT SYSTEMS	3	0.035
INTERNATIONAL SYMPOSIUM ON EARTH AND ENVIRONMENTAL SCIENCES FOR FUTURE GENERATIONS	3	0.035
ISPRS HANNOVER WORKSHOP HRIGI 17 CMRT 17 ISA 17 EUROCOW 17	3	0.035
JOURNAL OF APPLIED GEODESY	3	0.035
JOURNAL OF GEOPHYSICAL RESEARCH BIOGEOSCIENCES	3	0.035
JOURNAL OF HYDROLOGIC ENGINEERING	3	0.035
JOURNAL OF INFRARED AND MILLIMETER WAVES	3	0.035
JOURNAL OF SURVEYING ENGINEERING	3	0.035
LASER OPTOELECTRONICS PROGRESS	3	0.035
LATIN AMERICAN JOURNAL OF AQUATIC RESEARCH	3	0.035
MARINE AND FRESHWATER RESEARCH	3	0.035
MARINE POLLUTION BULLETIN	3	0.035
METEOROLOGICAL APPLICATIONS	3	0.035
MONITORING AND MODELING THE DEEPWATER HORIZON OIL SPILL A RECORD BREAKING ENTERPRISE	3	0.035
NATO SCIENCE FOR PEACE AND SECURITY SERIES C ENVIRONMENTAL SECURITY	3	0.035
NATURAL HAZARDS AND OCEANOGRAPHIC PROCESSES FROM SATELLITE DATA	3	0.035
NOUVELLE REVUE AERONAUTIQUE ASTRONAUTIQUE	3	0.035
OCEAN SCIENCE JOURNAL	3	0.035
OCEANS 2005 EUROPE VOLS 1 AND 2	3	0.035
OCEANS 98 CONFERENCE PROCEEDINGS VOLS 1 3	3	0.035
POLAR RESEARCH	3	0.035
POLAR SCIENCE	3	0.035
PROCEDIA ENVIRONMENTAL SCIENCES	3	0.035
PROCEEDINGS OF THE 33RD INTERNATIONAL TECHNICAL MEETING OF THE SATELLITE DIVISION OF THE INSTITUTE OF NAVIGATION ION GNSS 2020	3	0.035
PROCEEDINGS OF THE 36TH IAHR WORLD CONGRESS	3	0.035
PROCEEDINGS OF THE FOURTEENTH 2004 INTERNATIONAL OFFSHORE AND POLAR ENGINEERING CONFERENCE VOL 3	3	0.035
PROCEEDINGS OF THE INDIAN ACADEMY OF SCIENCES EARTH AND PLANETARY SCIENCES	3	0.035
PROCEEDINGS OF THE ION 2019 PACIFIC PNT MEETING	3	0.035
PROGRESS IN ELECTROMAGNETICS RESEARCH SYMPOSIUM	3	0.035
PROGRESS IN NATURAL SCIENCE MATERIALS INTERNATIONAL	3	0.035
QUATERNARY INTERNATIONAL	3	0.035
RBRH REVISTA BRASILEIRA DE RECURSOS HIDRICOS	3	0.035
REFERENCE FRAMES FOR APPLICATIONS IN GEOSCIENCES	3	0.035
REGIONAL STUDIES IN MARINE SCIENCE	3	0.035
REMOTE SENSING AND WATER RESOURCES	3	0.035
REMOTE SENSING FOR AGRICULTURE ECOSYSTEMS AND HYDROLOGY XVI	3	0.035
REMOTE SENSING OF THE MARINE ENVIRONMENT	3	0.035
REMOTE SENSING OF THE OCEAN AND SEA ICE 2001	3	0.035
REMOTE SENSING OF THE OCEAN AND SEA ICE 2004	3	0.035
REMOTE SENSING OF THE OCEAN SEA ICE COASTAL WATERS AND LARGE WATER REGIONS 2011	3	0.035
SCIENCE ADVANCES	3	0.035
SCIENCE IN CHINA SERIES G PHYSICS MECHANICS ASTRONOMY	3	0.035
SENSORS SYSTEMS AND NEXT GENERATION SATELLITES XIV	3	0.035
SMALL SATELLITE MISSIONS FOR EARTH OBSERVATION	3	0.035
SOLID EARTH	3	0.035
SOUTH AFRICAN JOURNAL OF MARINE SCIENCE SUID AFRIKAANSE TYDSKRIF VIR SEEWETENSKAP	3	0.035
SOVIET JOURNAL OF REMOTE SENSING	3	0.035
SPACE SCIENCE SERIES OF ISSI	3	0.035
SPACE WEATHER THE INTERNATIONAL JOURNAL OF RESEARCH AND APPLICATIONS	3	0.035
XXII ISPRS CONGRESS TECHNICAL COMMISSION VIII	3	0.035
10TH INTERNATIONAL CONFERENCE ENVIRONMENTAL ENGINEERING 10TH ICEE	2	0.024
2006 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM VOLS 1 8	2	0.024
2006 IEEE ION POSITION LOCATION AND NAVIGATION SYMPOSIUM VOLS 1 3	2	0.024
2008 IEEE AEROSPACE CONFERENCE VOLS 1 9	2	0.024
2010 18TH INTERNATIONAL CONFERENCE ON GEOINFORMATICS	2	0.024
2012 OCEANS	2	0.024
2017 IEEE INTERNATIONAL CONFERENCE ON IMAGING SYSTEMS AND TECHNIQUES IST	2	0.024
2018 IEEE AEROSPACE CONFERENCE	2	0.024
2018 IEEE OES BALTIC INTERNATIONAL SYMPOSIUM BALTIC	2	0.024
2019 IEEE AIAA 38TH DIGITAL AVIONICS SYSTEMS CONFERENCE DASC	2	0.024
3RD INTERNATIONAL CONFERENCE ON SUSTAINABLE FUTURE FOR HUMAN SECURITY SUSTAIN 2012	2	0.024
8TH IGRSM INTERNATIONAL CONFERENCE AND EXHIBITION ON GEOSPATIAL REMOTE SENSING IGRSM 2016	2	0.024
ADVANCED REMOTE SENSING TERRESTRIAL INFORMATION EXTRACTION AND APPLICATIONS	2	0.024
ADVANCED REMOTE SENSING TERRESTRIAL INFORMATION EXTRACTION AND APPLICATIONS 2ND EDITION	2	0.024
ADVANCES IN INTELLIGENT SYSTEMS RESEARCH	2	0.024
ANNALS OF GLACIOLOGY VOL 37	2	0.024
