Funding Agencies	Record Count	% of 94,965
Total Sa	107	0.113
United States Agency For International Development Usaid	107	0.113
University Grants Commission India	100	0.105
Gulf Of Mexico Research Initiative	99	0.104
Science Foundation Ireland	98	0.103
Ministry Of Education China 111 Project	97	0.102
National Science Fund For Distinguished Young Scholars	97	0.102
Marsden Fund Nz	95	0.100
Ministry Of Science And Higher Education Poland	94	0.099
Swedish Research Council Formas	94	0.099
Ministry Of Education China	93	0.098
Ministry Of Education Singapore	93	0.098
National Key Technology R D Program	93	0.098
Canadian Space Agency	92	0.097
National Research Foundation Singapore	92	0.097
United States Department Of Health Human Services	92	0.097
United States Environmental Protection Agency	92	0.097
Alfred P Sloan Foundation	91	0.096
Youth Innovation Promotion Association Cas	91	0.096
United States Forest Service	90	0.095
National Institutes Of Health Nih Usa	89	0.094
Priority Academic Program Development Of Jiangsu Higher Education Institutions Papd	89	0.094
Public Science And Technology Research Funds Projects Of Ocean	89	0.094
National Science Centre Poland	87	0.092
Air Force Office Of Scientific Research Afosr	84	0.088
European Union S Horizon 2020 Research And Innovation Programme	84	0.088
University Of California System	84	0.088
European Cooperation In Science And Technology Cost	80	0.084
Japan Science Technology Agency Jst	79	0.083
King Abdullah University Of Science Technology	79	0.083
New Zealand Ministry Of Business Innovation And Employment Mbie	79	0.083
Institut De Recherche Pour Le Developpement Ird	78	0.082
China Geological Survey	76	0.080
Jamstec	74	0.078
Nasa Earth And Space Science Fellowship	74	0.078
Max Planck Society	73	0.077
Det Frie Forskningsrad Dff	71	0.075
Generalitat De Catalunya	71	0.075
Korea Meteorological Administration Research And Development Program	71	0.075
Natural Science Foundation Of Hubei Province	71	0.075
Qingdao National Laboratory For Marine Science And Technology	71	0.075
General Electric	70	0.074
Icrea	68	0.072
Joint Institute For The Study Of The Atmosphere And Ocean Jisao Under Noaa	68	0.072
Program For New Century Excellent Talents In University Ncet	68	0.072
G Unger Vetlesen Foundation	67	0.071
Japan Agency For Marine Earth Science And Technology Jamstec	67	0.071
Korea Polar Research Institute	67	0.071
Key Research Program Of Frontier Sciences Cas	66	0.069
Knowledge Innovation Program Of The Chinese Academy Of Sciences	66	0.069
Nasa Measures Program	66	0.069
National Oceanographic Partnership Program Nopp	66	0.069
Ministry Of Oceans And Fisheries Korea	65	0.068
National Research Foundation	65	0.068
Australian Climate Change Science Program	64	0.067
Ministry Of The Environment Japan	64	0.067
National Science And Technology Major Project	64	0.067
Canadian Forest Service	63	0.066
Israel Science Foundation	63	0.066
Region Bretagne	63	0.066
Xunta De Galicia	62	0.065
Junta De Andalucia	61	0.064
Universidad Nacional Autonoma De Mexico	60	0.063
Us Fish Wildlife Service	60	0.063
Jet Propulsion Laboratory California Institute Of Technology	59	0.062
National Nuclear Security Administration	59	0.062
Eth Zurich	58	0.061
European Union S Horizon 2020 Research And Innovation Program	58	0.061
Specialized Research Fund For The Doctoral Program Of Higher Education Srfdp	58	0.061
Startup Foundation For Introducing Talent Of Nuist	57	0.060
Villum Foundation	57	0.060
Nsf Directorate For Mathematical Physical Sciences Mps	56	0.059
Region Occitanie	56	0.059
Estonian Research Council	55	0.058
Fisheries And Oceans Canada	55	0.058
North Pacific Research Board	55	0.058
Second Tibetan Plateau Scientific Expedition And Research Program	55	0.058
Ministry Of Research And Technology Of The Republic Of Indonesia Ristek	54	0.057
Second Tibetan Plateau Scientific Expedition And Research Program Step	54	0.057
Departamento Administrativo De Ciencia Tecnologia E Innovacion Colciencias	53	0.056
Petrobras	53	0.056
Ministry Of Education Youth Sports Czech Republic	52	0.055
Statoil	52	0.055
Australian Antarctic Division	51	0.054
Core Research For Evolutional Science And Technology Crest	50	0.053
British Antarctic Survey	49	0.052
Basic Scientific Fund For National Public Research Institutes Of China	48	0.051
Cicese	48	0.051
Conicyt Fondap	48	0.051
Department Of Space Dos Government Of India	48	0.051
Foundation Cellex	48	0.051
Ministry Of Science And Technology	48	0.051
National Key Research And Development Plan	48	0.051
Economic Social Research Council Esrc	47	0.049
Korean Government	47	0.049
Ministry Of Research France	47	0.049
Program For Changjiang Scholars Innovative Research Team In University Pcsirt	47	0.049
Sdust Research Fund	47	0.049
Fundacao De Amparo A Pesquisa Do Amapa Fapeap	46	0.048
Instituto De Salud Carlos Iii	46	0.048
Utrecht University	46	0.048
Woods Hole Oceanographic Institution	46	0.048
French Atomic Energy Commission	45	0.047
Fundacao De Apoio A Pesquisa Do Distrito Federal Fapdf	45	0.047
Genci Idris	45	0.047
Ministry Of Earth Sciences	45	0.047
Ministry Of Education And Research Estonia	45	0.047
Region Auvergne Rhone Alpes	45	0.047
Region Provence Alpes Cote D Azur	45	0.047
Biotechnology And Biological Sciences Research Council Bbsrc	44	0.046
Carlsberg Foundation	44	0.046
Federal Ministry For Economic Affairs And Energy Bmwi	44	0.046
Region Nouvelle Aquitaine	44	0.046
Canadian Institute For Advanced Research Cifar	43	0.045
Global Change Research Program Of China	43	0.045
Nsf Directorate For Computer Information Science Engineering Cise	43	0.045
Simons Foundation	43	0.045
University Of Otago	43	0.045
Bp The Gulf Of Mexico Research Initiative	42	0.044
Nasa Earth Science Measures Discover Project	42	0.044
National Key Research And Development Plan Of China	42	0.044
Programa De Apoyo A Proyectos De Investigacion E Innovacion Tecnologica Papiit	42	0.044
Axa Research Fund	41	0.043
Beijing Natural Science Foundation	41	0.043
Labexmer	41	0.043
Met Office Hadley Centre Climate Programme Beis	41	0.043
Ministry Of Education Science And Technology Republic Of Korea	41	0.043
National Ocean Partnership Program	41	0.043
Netherlands Earth System Science Centre Nessc	41	0.043
State Key Laboratory Of Geo Information Engineering	41	0.043
Arcticnet	40	0.042
Bureau Of Meteorology Australia	40	0.042
Consiglio Nazionale Delle Ricerche Cnr	40	0.042
Exxon Mobil Corporation	40	0.042
Niwa	40	0.042
Smithsonian Institution	40	0.042
University Of Tasmania	40	0.042
Ministry Of Education	39	0.041
Nasa Cryosphere Program	39	0.041
Natural Science Foundation Of Fujian Province	39	0.041
State Oceanic Administration Of China	39	0.041
Uk Space Agency	39	0.041
Cnes Tosca	38	0.040
Croatian Science Foundation	38	0.040
Global Change And Air Sea Interaction Project	38	0.040
Natural Science Foundation Of Shanghai	38	0.040
Research Projects Of National Relevance Prin	38	0.040
Brgm	37	0.039
Estonian Science Foundation	37	0.039
Innovation Group Project Of Southern Marine Science And Engineering Guangdong Laboratory Zhuhai	37	0.039
Ministry Of Science And Higher Education Of The Russian Federation	37	0.039
Most	37	0.039
Nsf Directorate For Engineering Eng	37	0.039
Cas Pioneer Hundred Talents Program	36	0.038
European Science Foundation Esf	36	0.038
Fundacao De Amparo A Ciencia E Tecnologia Do Estado Do Rio Grande Do Sul Fapergs	36	0.038
Geological Society Of America	36	0.038
Ipev	36	0.038
Nsf Directorate For Social Behavioral Economic Sciences Sbe	36	0.038
Postgraduate Research Practice Innovation Program Of Jiangsu Province	36	0.038
Science Technology Commission Of Shanghai Municipality Stcsm	36	0.038
Wolfson Foundation	36	0.038
Belgian Prodex Program	35	0.037
Esa Project Glaciers Cci	35	0.037
National Key Research And Development Project Of China	35	0.037
Natural Science Foundation Of Hunan Province	35	0.037
Southern Marine Science And Engineering Guangdong Laboratory Guangzhou	35	0.037
State Key Laboratory Of Tropical Oceanography South China Sea Institute Of Oceanology Chinese Academy Of Sciences	35	0.037
Gns Science	34	0.036
Harvard University	34	0.036
Institut National Des Sciences De L Univers Insu	34	0.036
Japan Agency For Marine Earth Science And Technology	34	0.036
Korea Polar Research Institute Kopri	34	0.036
Norwegian Polar Institute	34	0.036
Pearl River S T Nova Program Of Guangzhou	34	0.036
Priority Academic Program Development Of Jiangsu Higher Education Institutions	34	0.036
Program For Innovation Research And Entrepreneurship Team In Jiangsu Province	34	0.036
Scientific Research Fund Of The Second Institute Of Oceanography Mnr	34	0.036
Second Tibetan Plateau Scientific Expedition And Research Step Program	34	0.036
Guangdong Basic And Applied Basic Research Foundation	33	0.035
National Key Research Development Program Of China	33	0.035
Royal Dutch Shell	33	0.035
Swedish National Space Board	33	0.035
University Of Washington	33	0.035
Vedecka Grantova Agentura Msvvas Sr A Sav Vega	33	0.035
Academia Sinica Taiwan	32	0.034
French Polar Institute Ipev	32	0.034
Greek Ministry Of Development Gsrt	32	0.034
Institut Universitaire De France	32	0.034
International Partnership Program Of Chinese Academy Of Sciences	32	0.034
Meteo France	32	0.034
Muri	32	0.034
National Fish And Wildlife Foundation	32	0.034
National Key Research Program Of China	32	0.034
National Research Foundation Nrf	32	0.034
Polar Geospatial Center Under Nsf Opp	32	0.034
University Of Buenos Aires	32	0.034
Basque Government	31	0.033
Conocophillips	31	0.033
Danmarks Grundforskningsfond	31	0.033
Ird Institut De Recherche Pour Le Developpement	31	0.033
Jackson School Of Geosciences	31	0.033
Moes	31	0.033
National University Of Singapore	31	0.033
Nrf	31	0.033
Cas Light Of West China Program	30	0.032
Consejo Interinstitucional De Ciencia Y Tecnologia Cicyt	30	0.032
Fundacao Carlos Chagas Filho De Amparo A Pesquisa Do Estado Do Rio De Janeiro Faperj	30	0.032
Joint Decc Defra Met Office Hadley Centre Climate Programme	30	0.032
Los Alamos National Laboratory	30	0.032
Marine S T Fund Of Shandong Province For Pilot National Laboratory For Marine Science And Technology Qingdao	30	0.032
National Key Research Program Of China Collaborative Precision Positioning Project	30	0.032
Ontario Graduate Scholarship	30	0.032
Princeton University	30	0.032
Spanish Marine Science And Technology Program	30	0.032
State Key Laboratory Of Cryospheric Science	30	0.032
Basic Science Research Program Through The National Research Foundation Of Korea Nrf Ministry Of Education	29	0.031
Csic	29	0.031
Jpl	29	0.031
Luxembourg National Research Fund	29	0.031
National Key Ramp D Program Of China	29	0.031
Polish National Science Centre	29	0.031
University Of Cape Town	29	0.031
University Of Michigan System	29	0.031
University Of Ottawa	29	0.031
California Institute Of Technology	28	0.029
Consiliul National Al Cercetarii Stiintifice Cncs	28	0.029
Department Of Science Technology Dost Philippines	28	0.029
John D And Catherine T Macarthur Foundation	28	0.029
Knut Alice Wallenberg Foundation	28	0.029
National Institute Of Polar Research Nipr Japan	28	0.029
National Key Research And Development Project	28	0.029
Noaa Research	28	0.029
American Chemical Society	27	0.028
Amsr E Science Team	27	0.028
National Key Basic Research Program Of China Program 973	27	0.028
Natural Science Foundation Of Tianjin	27	0.028
Nsfc Innovative Group Grant	27	0.028
Ohio State University	27	0.028
Arc Centre Of Excellence For Climate Extremes	26	0.027
Generalitat Valenciana	26	0.027
Key Laboratory Of Geospace Environment And Geodesy Ministry Of Education Wuhan University	26	0.027
Laboratoire D Excellence Labexmer	26	0.027
Macquarie University	26	0.027
Marine Environmental Observation Prediction And Response Network Meopar	26	0.027
Ministry Of Land Transport And Maritime Affairs Republic Of Korea	26	0.027
National Taiwan University	26	0.027
Nordic Top Level Research Initiative Tri	26	0.027
State Key Laboratory Of Geodesy And Earth S Dynamics	26	0.027
Youth Innovation Promotion Association Of The Chinese Academy Of Sciences	26	0.027
Alfred Wegener Institute	25	0.026
Australian Antarctic Science Program	25	0.026
Boem	25	0.026
Bureau Of Ocean Energy Management Boem	25	0.026
Centre For Southern Hemisphere Oceans Research Cshor	25	0.026
Government Of New Zealand	25	0.026
Japan Aerospace Exploration Agency Jaxa	25	0.026
K C Wong Education Foundation	25	0.026
Mercator Ocean	25	0.026
Ministry Of Education Malaysia	25	0.026
National Oceanographic Partnership Program	25	0.026
Ontario Research Fund	25	0.026
Swedish National Space Board Snsb	25	0.026
Thousand Young Talents Program In China	25	0.026
Bp	24	0.025
British Geological Survey	24	0.025
Canadian Foundation For Climate And Atmospheric Sciences	24	0.025
China Ocean Mineral Resources Research And Development Association Program	24	0.025
Cooperative Institute For Marine And Atmospheric Studies Cimas A Cooperative Institute Of The University Of Miami	24	0.025
Fisheries Research Agency Japan	24	0.025
Foncyt	24	0.025
Joint Uk Beis Defra Met Office Hadley Centre Climate Programme	24	0.025
La Caixa Foundation	24	0.025
Nasa Grace Science Team	24	0.025
Nasa Operation Icebridge Grant	24	0.025
Nato North Atlantic Treaty Organisation	24	0.025
Northern Scientific Training Program	24	0.025
Open Project Program Of State Key Laboratory Of Tropical Oceanography	24	0.025
Programme National De Teledetection Spatiale Pnts	24	0.025
Stanford University	24	0.025
Uk National Centre For Earth Observation	24	0.025
Unitatea Executiva Pentru Finantarea Invatamantului Superior A Cercetarii Dezvoltarii Si Inovarii Uefiscdi	24	0.025
University Of Southampton	24	0.025
Usgs Coastal And Marine Geology Program	24	0.025
Chinese University Of Hong Kong	23	0.024
Earth Observatory Of Singapore	23	0.024
Environment And Climate Change Canada	23	0.024
International Partnership Program Of The Chinese Academy Of Sciences	23	0.024
Monash University	23	0.024
Nanyang Technological University	23	0.024
National Center For Atmospheric Research	23	0.024
National Research Foundation Of Korea Nrf Korea Government Msip	23	0.024
Netherlands Government	23	0.024
Nih National Institute Of Environmental Health Sciences Niehs	23	0.024
Polar Geospatial Center Under Nsf Opp Awards	23	0.024
Russian Federation	23	0.024
Schlumberger	23	0.024
Shanghai Science And Technology Commission Project	23	0.024
Taiwan Ministry Of Science And Technology	23	0.024
University Of Kansas	23	0.024
University Of New South Wales	23	0.024
University Of Western Australia	23	0.024
W M Keck Foundation	23	0.024
Chevron	22	0.023
Danish Natural Science Research Council	22	0.023
Fqrnt	22	0.023
Geoscience Australia	22	0.023
Joint Polar Satellite System Jpss	22	0.023
Labex Mer	22	0.023
Ministry Of Agriculture Forestry Fisheries Japan	22	0.023
Ministry Of Science Education And Sports Republic Of Croatia	22	0.023
National Center For Atmospheric Research National Science Foundation	22	0.023
Nerc Independent Research Fellowship	22	0.023
Open Fund Of State Key Laboratory Of Remote Sensing Science	22	0.023
South African National Antarctic Programme	22	0.023
Swedish National Space Agency	22	0.023
University Of Newcastle	22	0.023
Australian Antarctic Science	21	0.022
Awi	21	0.022
Frontier Science And Technology Innovation Project	21	0.022
Helmholtz Climate Initiative Reklim Regional Climate Change	21	0.022
Hong Kong Polytechnic University	21	0.022
Lloyd S Register Foundation	21	0.022
Ministry Of Energy Science Technology Environment And Climate Change Mestecc Malaysia	21	0.022
Nio	21	0.022
Noaa Climate Observations And Monitoring Com Program	21	0.022
Onr Grant	21	0.022
Project Of State Key Laboratory Of Satellite Ocean Environment Dynamics Second Institute Of Oceanography	21	0.022
Science Fund For Creative Research Groups	21	0.022
Shanghai Science Technology Committee	21	0.022
Slovak Research And Development Agency	21	0.022
State Key Laboratory Of Earth Surface Processes And Resource Ecology	21	0.022
University Of Cambridge	21	0.022
Bureau Of Ocean Energy Management	20	0.021
Cas Strategic Priority Research Program	20	0.021
Curtin University	20	0.021
Defense Advanced Research Projects Agency Darpa	20	0.021
Earth Systems And Climate Change Hub Of The Australian Government S National Environmental Science Program	20	0.021
Financiadora De Inovacao E Pesquisa Finep	20	0.021
French Cnes Centre National D Etudes Spatiales	20	0.021
Jiangsu Province Distinguished Professor Project	20	0.021
Ministry Of Earth Sciences Govt Of India	20	0.021
Ministry Of Higher Education Scientific Research Mhesr	20	0.021
National Research Foundation Of Korea Nrf Korea Government Msit	20	0.021
Natural Science Foundation Of Heilongjiang Province	20	0.021
Nordic Top Level Research Initiative	20	0.021
Nrl	20	0.021
Oregon State University	20	0.021
Research Fund For The Doctoral Program Of Higher Education Of China Rfdp	20	0.021
Scientific Research Fund Of The Second Institute Of Oceanography Soa	20	0.021
Second Tibetan Plateau Scientific Expedition And Research	20	0.021
Swedish Polar Research Secretariat	20	0.021
Ubacyt	20	0.021
Wildlife Conservation Society	20	0.021
Youth Innovation Promotion Association Of Cas	20	0.021
Australian National University	19	0.020
Beijing Municipal Science Technology Commission	19	0.020
Department Of Climate Change And Energy Efficiency	19	0.020
Dga	19	0.020
French Polar Institute Ipev Institut Polaire Paul Emile Victor	19	0.020
Incois	19	0.020
Joint Uk Decc Defra Met Office Hadley Centre Climate Programme	19	0.020
Korea Institute Of Ocean Science And Technology	19	0.020
Ministry Of Human Resource Development Mhrd Government Of India	19	0.020
Nasa Cryospheric Science Program	19	0.020
National Foundation For Science Technology Development Nafosted	19	0.020
National Oceanography Centre Southampton	19	0.020
Schmidt Ocean Institute	19	0.020
Shom	19	0.020
Slovenian Research Agency Slovenia	19	0.020
Technical University Of Munich Tum	19	0.020
Antarctica New Zealand	18	0.019
California Department Of Water Resources	18	0.019
Catalan Government	18	0.019
Centre For Southern Hemisphere Oceans Research	18	0.019
Cesam	18	0.019
China Ocean Mineral Resources Rd Association	18	0.019
China S National Key Research And Development Projects	18	0.019
Chinese Arctic And Antarctic Administration	18	0.019
Cooperative Institute For Marine And Atmospheric Studies Cimas	18	0.019
Durham University	18	0.019
European Feder Fund	18	0.019
French Ministry Of Foreign Affairs	18	0.019
French Research Program Of Insu Cnrs Lefe Cyber Les Enveloppes Fluides Et L Environnement Cycles Biogeochimiques Environnement Et Ressources	18	0.019
Higher Education Funding Council For England	18	0.019
Ipgp	18	0.019
Jet Propulsion Laboratory	18	0.019
Meteorological Research Institute	18	0.019
Nasa Astrobiology Institute	18	0.019
National Key Rd Program	18	0.019
National Park Service	18	0.019
National University Of La Plata	18	0.019
New Zealand Government	18	0.019
Pew Charitable Trusts	18	0.019
Polar Continental Shelf Program	18	0.019
Project Of Global Change And Air Sea Interaction	18	0.019
Region Hauts De France	18	0.019
Save Our Seas Foundation	18	0.019
Sichuan Science And Technology Program	18	0.019
Southern Marine Science And Engineering Guangdong Laboratory Zhuhai	18	0.019
United States Department Of Homeland Security Dhs	18	0.019
University Of Melbourne	18	0.019
Welsh Government	18	0.019
Andrew Mellon Foundation	17	0.018
Centre For Climate Dynamics At The Bjerknes Centre	17	0.018
Cineca Italy	17	0.018
Daad Thematic Network Project	17	0.018
Direction Generale De L Armement Dga	17	0.018
Earth System Science Organization Ministry Of Earth Sciences Government Of India	17	0.018
Eumetsat	17	0.018
Government Of India	17	0.018
Initiative And Networking Fund Of The Helmholtz Association	17	0.018
Innovation Academy Of South China Sea Ecology And Environmental Engineering Chinese Academy Of Sciences	17	0.018
Inter American Institute For Global Change Research Iai	17	0.018
Jiangsu Collaborative Innovation Center For Climate Change	17	0.018
Kiost	17	0.018
Laboratory For Regional Oceanography And Numerical Modeling Qingdao National Laboratory For Marine Science And Technology	17	0.018
Ministry Of Earth Sciences New Delhi	17	0.018
Ministry Of Science Technology And Space Most Israel	17	0.018
National Natural Science Foundation Of Guangxi Province	17	0.018
Natural Science Foundation Of Anhui Province	17	0.018
Old Dominion University S Climate Change And Sea Level Rise Initiative Ccslri	17	0.018
Scientific Research Fund Of Sio	17	0.018
Scottish Funding Council	17	0.018
Sigma Xi	17	0.018
Simon Fraser University	17	0.018
Ska South Africa	17	0.018
Smithsonian Tropical Research Institute	17	0.018
Social Sciences And Humanities Research Council Of Canada Sshrc	17	0.018
Startup Foundation For Introducing Talent Of Nanjing University Of Information Science And Technology	17	0.018
State Key Laboratory Of Tropical Oceanography	17	0.018
Strategic Priority Research Program Project Of The Chinese Academy Of Sciences	17	0.018
U S Department Of Commerce	17	0.018
Universiti Teknologi Malaysia Utm	17	0.018
University Of British Columbia	17	0.018
University Of Colorado Boulder	17	0.018
Western Australian Marine Science Institution	17	0.018
Whoi	17	0.018
Andrew W Mellon Foundation	16	0.017
Australian Antarctic Science Project	16	0.017
Conicyt Pia Basal	16	0.017
Cooperative Institute Of The University Of Miami	16	0.017
Copernicus Marine Environment Monitoring Service Cmems	16	0.017
Danish Agency For Science Technology And Innovation	16	0.017
Deltares	16	0.017
European Union S Horizon 2020 Research And Innovation Programme Under The Marie Sklodowska Curie Grant	16	0.017
European Union S Horizon Research And Innovation Programme	16	0.017
Fisheries R D Corp	16	0.017
Fisheries Research And Development Corporation	16	0.017
Fondap	16	0.017
Fundamental Research Funds For The Central Universities Of Central South University	16	0.017
General Research Fund Of Hong Kong Research Grants Council Rgc	16	0.017
Global Change And Air Sea Interaction Project Of China	16	0.017
Independent Research Project Program Of State Key Laboratory Of Tropical Oceanography	16	0.017
Institut De Recherche Pour Le Developpement Ird France	16	0.017
International Science Technology Cooperation Program Of China	16	0.017
Key Area Research And Development Program Of Guangdong Province	16	0.017
Korea Research Foundation	16	0.017
Manitoba Hydro	16	0.017
Ministry Of Earth Sciences Moes	16	0.017
National Council Of Science And Technology Of Mexico Mexican Ministry Of Energy Hydrocarbon Trust	16	0.017
National Science Foundation For Young Scientists Of China	16	0.017
Nprb	16	0.017
Penn State Center For Climate Risk Management	16	0.017
Science Engineering Research Board Serb India	16	0.017
Second Tibetan Plateau Scientific Expedition And Research Step	16	0.017
Secretaria De Ciencia Y Tecnologia Secyt	16	0.017
Super Science Initiative	16	0.017
The British Council In India	16	0.017
The World Bank India	16	0.017
Tsinghua University Initiative Scientific Research Program	16	0.017
University Of Alberta	16	0.017
University Of Auckland	16	0.017
University Of Bergen	16	0.017
University Of Miami	16	0.017
University Of Queensland	16	0.017
Vetlesen Foundation	16	0.017
Victoria University Of Wellington	16	0.017
Anid	15	0.016
Australian Institute Of Marine Science	15	0.016
California Sea Grant	15	0.016
Cassini Project	15	0.016
Csiro Oceans And Atmosphere	15	0.016
Darwin Initiative	15	0.016
Finnish Funding Agency For Technology Innovation Tekes	15	0.016
Greenland Analogue Project Gap	15	0.016
Heising Simons Foundation	15	0.016
Hong Kong Innovation And Technology Fund	15	0.016
Igcp Project	15	0.016
Innovation Group Of Natural Fund Of Hubei Province	15	0.016
Insu Institut National Des Sciences De L Univers	15	0.016
International Space Science Institute Bern Switzerland	15	0.016
Istanbul Technical University	15	0.016
King Saud University	15	0.016
Korean Ministry Of Oceans And Fisheries	15	0.016
Marine Institute	15	0.016
Marine Public Welfare Project Of China	15	0.016
Ministry Of Economic Affairs Netherlands	15	0.016
Ministry Of Education Human Resources Development Moehrd Republic Of Korea	15	0.016
National Key R D Program For Developing Basic Sciences	15	0.016
New Zealand Ministry Of Science And Innovation	15	0.016
Padi Foundation	15	0.016
Research Council Of Norway Through Its Centres Of Excellence Funding Scheme	15	0.016
Royal Geographical Society	15	0.016
Rufford Foundation	15	0.016
Shanghai Sailing Program	15	0.016
South African Research Chairs Initiative Of The Department Of Science And Technology	15	0.016
Southern California Earthquake Center	15	0.016
State Oceanic Administration	15	0.016
Stockholm University	15	0.016
Taishan Scholar Program	15	0.016
Universidad Nacional Del Sur	15	0.016
University Of Colorado	15	0.016
University Of Padova	15	0.016
Usda Agricultural Research Service	15	0.016
Wallenberg Academy Fellowship	15	0.016
Compute Canada	14	0.015
Conicyt Pia Anillos	14	0.015
Csir Nio	14	0.015
Czech Academy Of Sciences	14	0.015
Eu Fp7 Project Carbochange	14	0.015
European Union S Horizon 2020 Research And Innovation Program Under The Marie Sklodowska Curie Grant	14	0.015
Flagship Project Ritmare The Italian Research For The Sea	14	0.015
Fundacao De Amparo A Pesquisa Do Estado De Minas Gerais Fapemig	14	0.015
Fundamental Research Funds For The Central University	14	0.015
Gary Comer Science And Education Foundation	14	0.015
Ghent University	14	0.015
Gulf Of Mexico Research Initiative Gomri	14	0.015
Igcp	14	0.015
Inter American Institute For Global Change Research	14	0.015
