Funding Agencies	Record Count	% of 8,505
Labexmer	8	0.094
Leverhulme Trust	8	0.094
Ministry Of Earth Science Moes Government Of India	8	0.094
Ministry Of Science And Technology	8	0.094
State Key Laboratory Of Disaster Reduction In Civil Engineering	8	0.094
State Key Laboratory Of Geo Information Engineering	8	0.094
Agenzia Spaziale Italiana Asi	7	0.082
Anpcyt	7	0.082
Department Of Space Dos Government Of India	7	0.082
European Union S Horizon 2020 Research And Innovation Programme	7	0.082
Global Change And Air Sea Interaction Project	7	0.082
Grant Agency Of The Czech Republic	7	0.082
Jet Propulsion Laboratory California Institute Of Technology	7	0.082
Key Special Project For Introduced Talents Team Of Southern Marine Science And Engineering Guangdong Laboratory Guangzhou	7	0.082
Knowledge Innovation Program Of The Chinese Academy Of Sciences	7	0.082
Ministry Of Education And Science Russian Federation	7	0.082
Nasa Icesat 2 Project Science Office	7	0.082
National Geospatial Intelligence Agency	7	0.082
National Key Research And Development Project Of China	7	0.082
National Key Technology R D Program	7	0.082
Natural Science Foundation Of Zhejiang Province	7	0.082
Ohio State University S Climate Water And Carbon Program	7	0.082
Region Occitanie	7	0.082
Scientific Research Fund Of Sio	7	0.082
Turkiye Bilimsel Ve Teknolojik Arastirma Kurumu Tubitak	7	0.082
Woods Hole Oceanographic Institution	7	0.082
Australian Climate Change Science Program	6	0.071
Austrian Science Fund Fwf	6	0.071
Canadian Forest Service	6	0.071
Core Research For Evolutional Science And Technology Crest	6	0.071
Department For Environment Food Rural Affairs Defra	6	0.071
European Science Foundation Esf	6	0.071
Fundacao De Amparo A Pesquisa Do Estado De Sao Paulo Fapesp	6	0.071
Institut De Recherche Pour Le Developpement Ird	6	0.071
Jpl	6	0.071
Korea Meteorological Administration Research And Development Program	6	0.071
Korea Polar Research Institute	6	0.071
Met Office Hadley Centre Climate Programme Beis	6	0.071
Ministry Of Education China	6	0.071
Ministry Of Oceans And Fisheries Korea	6	0.071
Ministry Of The Environment Japan	6	0.071
Nasa Grace Science Team	6	0.071
Nasa Swot Program	6	0.071
National High Resolution Ground Observation System Of China	6	0.071
Natural Science Foundation Of Hubei Province	6	0.071
Natural Science Foundation Of Shanghai	6	0.071
Nio	6	0.071
Priority Academic Program Development Of Jiangsu Higher Education Institutions Papd	6	0.071
Region Provence Alpes Cote D Azur	6	0.071
Startup Foundation For Introducing Talent Of Nuist	6	0.071
State Key Laboratory Of Tropical Oceanography South China Sea Institute Of Oceanology Chinese Academy Of Sciences	6	0.071
Swiss National Science Foundation Snsf	6	0.071
Thousand Young Talents Program In China	6	0.071
University Grants Commission India	6	0.071
Youth Innovation Promotion Association Cas	6	0.071
Active And Passive Composite Mapping And Application Technology With Visible Infrared And Laser Sensors	5	0.059
Canada Research Chairs	5	0.059
Copernicus Marine Environment Monitoring Service Cmems Medsub Project	5	0.059
Dragon 4 Project	5	0.059
G Unger Vetlesen Foundation	5	0.059
Government Of The Russian Federation	5	0.059
Guangdong Special Fund Program For Marine Economy Development	5	0.059
Icrea	5	0.059
Korean Government	5	0.059
Liaoning Revitalization Talents Program	5	0.059
Ministry Of Education China 111 Project	5	0.059
Ministry Of Science And Higher Education Poland	5	0.059
Nasa Cryosphere Program	5	0.059
Nasa Swot Science Team Grant	5	0.059
National Key Ramp D Program Of China	5	0.059
National Key Research Program Of China	5	0.059
National Key Research Program Of China Collaborative Precision Positioning Project	5	0.059
National Ocean Partnership Program	5	0.059
National Oceanography Centre Southampton	5	0.059
Natural Science Foundation Of Fujian Province	5	0.059
Nsf Office Of The Director Od	5	0.059
Nsfc Innovative Group	5	0.059
Ohio Supercomputer Center	5	0.059
Opening Foundation Of Hunan Engineering And Research Center Of Natural Resource Investigation And Monitoring	5	0.059
Program For Changjiang Scholars Innovative Research Team In University Pcsirt	5	0.059
Program For New Century Excellent Talents In University Ncet	5	0.059
Public Benefit Scientific Research Project Of China	5	0.059
Qingdao National Laboratory For Marine Science And Technology	5	0.059
Region Bretagne	5	0.059
Shanghai Pujiang Talent Program Project	5	0.059
Shanghai Science And Technology Commission Project	5	0.059
Shanghai Science Technology Committee	5	0.059
Sorbonne Universite	5	0.059
State Key Laboratory Of Geodesy And Earth S Dynamics	5	0.059
Swedish Research Council	5	0.059
Swot Science Team	5	0.059
Universiti Teknologi Malaysia	5	0.059
Academy Of Finland	4	0.047
Authenticity Validation Technology Of Elevation Accuracy Of The Gf 7 Laser Altimeter	4	0.047
Autonomous And Controllable Special Project For Surveying And Mapping Of China	4	0.047
Basic Scientific Fund For National Public Research Institutes Of China	4	0.047
Boem	4	0.047
Bp The Gulf Of Mexico Research Initiative	4	0.047
Bureau Of Meteorology Australia	4	0.047
Cicese	4	0.047
Cls	4	0.047
Dawn Scholar Of Shanghai	4	0.047
Direction Generale De L Armement	4	0.047
Esa Project Glaciers Cci	4	0.047
Fisheries And Oceans Canada	4	0.047
Fundacao De Amparo A Ciencia E Tecnologia Do Estado Do Rio Grande Do Sul Fapergs	4	0.047
Fundacao De Amparo A Pesquisa Do Amapa Fapeap	4	0.047
Global Change And Air Sea Interaction Program Of China	4	0.047
Global Change Research Program Of China	4	0.047
Gordon And Betty Moore Foundation	4	0.047
Headquarters Of University Advancement At National Cheng Kung University Taiwan	4	0.047
Icesat 2 Project Science Office	4	0.047
Independent Research And Development Start Up Fund Of Qian Xuesen Laboratory Of Space Technology	4	0.047
Innovation Workstation Project Of Science And Technology Commission Of The Central Military Commission	4	0.047
Innovation Workstation Project Of The Science And Technology Commission Of The Central Military Commission	4	0.047
Iran National Science Foundation Insf	4	0.047
Ird Institut De Recherche Pour Le Developpement	4	0.047
Israel Science Foundation	4	0.047
Jiangsu Province Distinguished Professor Project	4	0.047
Junta De Andalucia	4	0.047
Key R D Program Of Shandong Province	4	0.047
Major Project Of High Resolution Earth Observation System	4	0.047
Marine Environmental Observation Prediction And Response Network Meopar	4	0.047
Mercator Ocean	4	0.047
Ministry Of Education And Research Estonia	4	0.047
Ministry Of Education Malaysia	4	0.047
Ministry Of Education Moe Malaysia	4	0.047
Ministry Of Education Youth Sports Czech Republic	4	0.047
Ministry Of Research And Technology Of The Republic Of Indonesia Ristek	4	0.047
Nasa Ocean Surface Topography Science Team Program	4	0.047
Nasa Swot Mission	4	0.047
Nasg Young Academic Leaders Foundation	4	0.047
National Central University New Faculty Research Award	4	0.047
National Fund For Basic Surveying And Mapping	4	0.047
National High Tech Project Of China	4	0.047
Natural Science Foundation Of Anhui Province	4	0.047
New Zealand Foundation For Research Science And Technology	4	0.047
Old Dominion University S Climate Change And Sea Level Rise Initiative Ccslri	4	0.047
Outstanding Youth Foundation Of The China Academy Of Space Technology	4	0.047
Petrobras	4	0.047
Postgraduate Research Practice Innovation Program Of Jiangsu Province	4	0.047
Priority Academic Program Development Of Jiangsu Higher Education Institutions	4	0.047
Program For Innovation Research And Entrepreneurship Team In Jiangsu Province	4	0.047
Project Of State Key Laboratory Of Satellite Ocean Environment Dynamics Second Institute Of Oceanography	4	0.047
Qian Xuesen Lab Dfh Sat Co Joint Research And Development Fund	4	0.047
Royal Society Of New Zealand	4	0.047
Science And Technology Innovation Action Plan Program Of Shanghai	4	0.047
Science Technology Commission Of Shanghai Municipality Stcsm	4	0.047
Shanghai Science And Technology Innovation Action Plan Program	4	0.047
Soa	4	0.047
St Petersburg State University	4	0.047
State Oceanic Administration Of China	4	0.047
Swedish National Space Board	4	0.047
Swot Mission	4	0.047
Swot Project	4	0.047
Technical University Of Crete	4	0.047
Technologiestichting Stw	4	0.047
Youth Science And Technology Innovation Fund Project Of Anhui Province Key Laboratory Of Water Conservancy And Water Resources	4	0.047
Agaur Generalitat De Catalunya Feder Spain	3	0.035
Agencia Estatal De Meteorologia	3	0.035
Alexander Von Humboldt Foundation	3	0.035
Amsr E Science Team	3	0.035
Authenticity Validation Technology Of Elevation Accuracy Of Gf 7 Laser Altimeter	3	0.035
Basic Frontier Science Research Program Of Chinese Academy Of Sciences	3	0.035
Beijing Municipal Science Technology Commission	3	0.035
British Antarctic Survey	3	0.035
Canada 150 Chair Program	3	0.035
Canon Foundation	3	0.035
Cas Chinese Academy Of Sciences 100 Talent Program	3	0.035
Cas Innovative Foundation	3	0.035
Cas Pioneer Hundred Talents Program	3	0.035
Centre For Integrated Remote Sensing And Forecasting For Arctic Operations Cirfa Project Through The Research Council Of Norway Rcn	3	0.035
China Ocean Mineral Resources Research And Development Association Program	3	0.035
China S National Key Science Program For Global Change Research	3	0.035
Chinese Arctic And Antarctic Administration	3	0.035
Cnes Cls	3	0.035
Cnes S Swot Mission	3	0.035
Cnes Through The Ost St	3	0.035
Conocophillips	3	0.035
Consejo Interinstitucional De Ciencia Y Tecnologia Cicyt	3	0.035
Conselleria D Educacio Cultura I Universitats Del Govern De Les Illes Balears Mallorca Spain	3	0.035
Copernicus Marine Environment Monitoring Service	3	0.035
Cryosat Calibration And Validation Experiment Cryovex	3	0.035
Curtin International Postgraduate Research Scholarships Ciprs Ord Scholarship By Curtin University Australia	3	0.035
Curtin Research Fellowship	3	0.035
Danida Danish Ministry Of Foreign Affairs	3	0.035
Department Of Environment Regional Planning Agriculture And Fisheries Of The Basque Government	3	0.035
Det Frie Forskningsrad Dff	3	0.035
Dst Cnrs Project	3	0.035
Earth System Science Organization Ministry Of Earth Sciences Government Of India	3	0.035
Esa Climate Change Initiative Sea Level Budget Closure	3	0.035
Estonian Science Foundation	3	0.035
Eu Fp7 Project Swarp	3	0.035
European Space Agency Living Planet Fellowship Arctic Summit	3	0.035
European Union S Horizon 2020 Research And Innovation Program	3	0.035
Financiadora De Inovacao E Pesquisa Finep	3	0.035
First Institute Of Oceanography In Ministry Of Natural Resources	3	0.035
Fonds De La Recherche Scientifique Fnrs	3	0.035
Foundation Of China Ocean Mineral Resources Rd Association	3	0.035
Fundacao Para A Ciencia E A Tecnologia Fct European Social Fund	3	0.035
Genci Idris	3	0.035
General Electric	3	0.035
Geo Program	3	0.035
Geoide Nce	3	0.035
Gfz	3	0.035
Government Of The Republic Of Kazakhstan	3	0.035
Harvard University	3	0.035
High Resolution Remote Sensing Surveying And Mapping Application Demonstration System	3	0.035
High Resolution Remote Sensing Surveying And Mapping Application Program	3	0.035
Hk Science Project	3	0.035
Initiative And Networking Fund Of The Helmholtz Association	3	0.035
Innovation Academy Of South China Sea Ecology And Environmental Engineering Chinese Academy Of Sciences	3	0.035
Intas	3	0.035
International Space Science Institute Bern Switzerland	3	0.035
International Space Science Institute Issi Bern Switzerland	3	0.035
Ipgp	3	0.035
Ivanhoe Foundation	3	0.035
Japan Science Technology Agency Jst	3	0.035
Joint European Research Infrastructure Network For Coastal Observatories Jerico Transnational Access Tna Third Call	3	0.035
K C Wong Education Foundation	3	0.035
Key Research And Development Program Of Shandong Province	3	0.035
Key Research And Development Program Of Shandong Province International Science And Technology Cooperation	3	0.035
Key Research Program Of Frontier Sciences Cas	3	0.035
Korea Science And Engineering Foundation	3	0.035
La Caixa Foundation	3	0.035
Labex Cominlabs Grant Seacs	3	0.035
Laboratoire D Excellence Labexmer	3	0.035
Main Direction Project Of Chinese Academy Of Sciences	3	0.035
Major Technology Innovation Project Of Hubei Province Of China	3	0.035
Marine Science And Technology Fund Of Shandong Province For Pilot National Laboratory For Marine Science And Technology Qingdao	3	0.035
Marsden Fund Nz	3	0.035
Miccin	3	0.035
Mincyt Ecos Sud	3	0.035
Ministerio Da Ciencia Tecnologia E Ensino Superior Mctes	3	0.035
Ministry Of Economy And Competitiveness	3	0.035
Ministry Of Human Resource Development Mhrd Government Of India	3	0.035
Moes	3	0.035
Multibeam Terrain Detection Laser And Its Application Technology	3	0.035
Nansen Environmental And Remote Sensing Center Bergen Norway	3	0.035
Nansen Tutu Centre For Marine Environmental Research	3	0.035
Nasa Cnes Swot Mission	3	0.035
Nasa Esi Program	3	0.035
Nasa Grace	3	0.035
Nasa Ocean Surface Topography Mission	3	0.035
Nasa Ocean Surface Topography Mission Science Team Grant	3	0.035
Nasa Physical Oceanography	3	0.035
Nasa Physical Oceanography Po Program	3	0.035
Nasa Science Of Terra Aqua And Suomi Npp Tasnpp Program	3	0.035
Nasa Sea Level Change Team	3	0.035
Nasa Servir Program	3	0.035
Nasa Swot Science Team	3	0.035
National Central University Taiwan	3	0.035
National Centre For Earth Observation	3	0.035
National Defense Science And Technology Innovation Special Zone Project	3	0.035
National High Resolution Ground Observation System Of China Gf 7	3	0.035
National Key Basic Research Program Of China Program 973	3	0.035
National Key R And D Program Of China	3	0.035
National Key Research And Development Project	3	0.035
National Key Research Development Program Of China	3	0.035
National Natural Science Foundation Of Guangdong Province	3	0.035
National Oceanographic Partnership Program	3	0.035
National Oceanographic Partnership Program Nopp	3	0.035
National Research Foundation Nrf	3	0.035
National Research Foundation Of Korea Nrf Korea Government Msip	3	0.035
National Research Foundation Singapore	3	0.035
National Special Research Fund For Non Profit Marine Sector	3	0.035
National Taiwan University	3	0.035
Nato North Atlantic Treaty Organisation	3	0.035
Natural Science Foundation Of Hunan Province	3	0.035
Netherlands Vertical Reference Frame Nevref Project	3	0.035
Noaa Quantitative Observing System Assessment Program Qosap	3	0.035
Nordic Top Level Research Initiative	3	0.035
Nrf	3	0.035
Nsf Directorate For Social Behavioral Economic Sciences Sbe	3	0.035
Nsfc Zhejiang Joint Fund For The Integration Of Industrialization And Informatization	3	0.035
Ohio University Russ Legacy Development Fund	3	0.035
Onr Global	3	0.035
Open Fund Of State Key Laboratory Of Remote Sensing Science	3	0.035
Open Fund Of State Key Laboratory Of Satellite Ocean Environment Dynamics	3	0.035
Open Research Fund Of Key Laboratory Of Space Utilization Chinese Academy Of Sciences	3	0.035
Operational Support Service System For Natural Resources Satellite Remote Sensing	3	0.035
Oregon State University	3	0.035
Ostst Project Manatee	3	0.035
Outstanding Youth Fund Of China Academy Of Space Technology	3	0.035
Pre Swot Project Spanish National Research Program	3	0.035
Project Eddy Resolving Global Ocean Prediction Including Tides Office Of Naval Research	3	0.035
School Of Geography Planning And Environmental Management Uq	3	0.035
Science Foundation Ireland	3	0.035
Science Technology Facilities Council Stfc	3	0.035
Scientific Research Fund Of The Second Institute Of Oceanography Mnr	3	0.035
Sdust	3	0.035
Second Tibetan Plateau Scientific Expedition And Research	3	0.035
Second Tibetan Plateau Scientific Expedition And Research Step	3	0.035
Shanghai Dawn Scholar Program	3	0.035
Shom	3	0.035
Soa Global Change And Air Sea Interaction Project	3	0.035
South African National Antarctic Programme Sanap	3	0.035
Southern Marine Science And Engineering Guangdong Laboratory Guangzhou	3	0.035
Spanish Government Jae Doc Grant Csic	3	0.035
Spanish Research Council Csic	3	0.035
Special Fund For High Resolution Images Surveying And Mapping Application System	3	0.035
Startup Foundation For Introducing Talent Of Nanjing University Of Information Science And Technology	3	0.035
State Key Laboratory Of Satellite Ocean Environment Dynamics	3	0.035
State Key Laboratory Of Satellite Ocean Environment Dynamics Second Institute Of Oceanography	3	0.035
State Key Laboratory Of Tropical Oceanography	3	0.035
State Oceanic Administration	3	0.035
State Scholarship Fund From Chinese Scholarship Council	3	0.035
Strategic Priority Research Program Project Of The Chinese Academy Of Sciences	3	0.035
Swedish National Space Agency	3	0.035
Swot Projects	3	0.035
The David Lucile Packard Foundation	3	0.035
Tosca Board	3	0.035
Tosca Program Of The French Space Agency Cnes	3	0.035
Total Sa	3	0.035
Ubacyt	3	0.035
Uk Natural Environment Research Council Centre For Polar Observation And Modelling	3	0.035
United States Agency For International Development Usaid	3	0.035
United States Geological Surveying Usgs Landsat Science Team Program Grant	3	0.035
Universitat De Les Illes Balears	3	0.035
Universite Pierre Et Marie Curie	3	0.035
Universiti Teknologi Malaysia Utm	3	0.035
University Of California System	3	0.035
University Of Cape Town	3	0.035
University Of Colorado	3	0.035
University Of Liege	3	0.035
University Of Minnesota System	3	0.035
University Of Newcastle Research Scholarship	3	0.035
University Of Queensland	3	0.035
University Of The Balearic Islands	3	0.035
Vedecka Grantova Agentura Msvvas Sr A Sav Vega	3	0.035
Wolfson Foundation	3	0.035
Youth Fund Of China Marine Telemetry Engineering Research Center	3	0.035
12Th Five Year Plan Of Civil Aerospace Technology Advanced Research Projects	2	0.024
13Th Five Year Informatization Plan Of Chinese Academy Of Sciences	2	0.024
Access	2	0.024
Adlerbert Research Foundation	2	0.024
Advance Research Project Of Common Technology	2	0.024
African Coelacanth Ecosystem Project Acep	2	0.024
Agenzia Spaziale Italiana As Part Of Goce Italy Project	2	0.024
Alfred P Sloan Foundation	2	0.024
Aoshan Talent Cultivation Program Of Qnlm	2	0.024
Aoshan Talents Program By The Qingdao National Laboratory For Marine Science And Technology	2	0.024
Applied Centre For Climate And Earth Systems Science Access	2	0.024
Aquatic Climate Change And Adaptation Services Program Accasp Of Fisheries And Oceans Canada	2	0.024
Arcticnet	2	0.024
Arosa Advanced Radio Ocultations And Scatterometry Applications	2	0.024
Asclme	2	0.024
Australian Antarctic Science Program	2	0.024
Australian Climate Change Science Program Accsp	2	0.024
Authenticity Validation Technology Of Elevation Measurement Accuracy Of Gf 7 Laser Altimeter	2	0.024
Basic Research Foundation Of The Key Laboratory Of Geospace Environment And Geodesy Of Ministry Of Education Wuhan University	2	0.024
Basic Scientific Research Fund For National Public Institutes Of China	2	0.024
Beijing Key Laboratory Of Urban Spatial Information Engineering	2	0.024
Beijing Natural Science Foundation	2	0.024
Beijing Talents Foundation	2	0.024
Belgian Federal Science Policy Office	2	0.024
Bolin Centre For Climate Research	2	0.024
Brazilian Ministry Of Education	2	0.024
Bureau Of Ocean Energy Management Boem	2	0.024
California Institute Of Technology	2	0.024
Caltech Jpl Postdoctoral Fellowship	2	0.024
Canada Excellence Research Chair Cerc Program	2	0.024
Canada First Research Excellence Fund	2	0.024
Canada Foundation For Innovation	2	0.024
Canadian Circumpolar Institute	2	0.024
Canadian Consortium For Lidar Environment Applications Research C Clear	2	0.024
Canadian Space Agency Government Related Initiatives Program	2	0.024
Cas Cafea Program	2	0.024
Cas Interdisciplinary Innovation Team	2	0.024
Cas Key Study Program	2	0.024
Cas Strategic Priority Research Program	2	0.024
Cassini Project	2	0.024
Cecil And Ida Green Foundation Scholarship	2	0.024
Center For Global Sea Level Change Cslc Of Nyu Abu Dhabi	2	0.024
Center Of Excellence For Climate System Analysis And Prediction Clisap	2	0.024
Central Guide Local Science And Technology Development Projects	2	0.024
Centre For Southern Hemisphere Oceans Research Cshor	2	0.024
Centro Interdisciplinar De Investigacao Marinha E Ambiental Ciimar	2	0.024
China Manned Space Program	2	0.024
China Postdoctoral Innovative Talent Support Program	2	0.024
China S Hy 2 Satellite Altimeter Mission	2	0.024
Chinese Ministry Of Science And Technology Through The National Basic Research Program	2	0.024
Chongqing Technology Innovation And Application Development Special Project	2	0.024
Class B Project Of Beijing Science And Technology Association Jinqiao Project Seed Fund	2	0.024
Climate Change And Atmospheric Research Grant	2	0.024
Climate Observations Division Of The Noaa Climate Program Office	2	0.024
Cls Space Oceanography Division As Part Of The Environment And Climate Eu Enact Project	2	0.024
Cnes Centre National D Etudes Spatiales France Through The Tosca Committee Fellowship	2	0.024
Cnes Grant Ostst Manatee	2	0.024
Cnes Ostst	2	0.024
Cnes Ostst Osiw Grant	2	0.024
Cnes Salp Project	2	0.024
Cnes Through The Ocean Surface Topography Science Team Ostst	2	0.024
Cnes Through The Tosca Program	2	0.024
Cnpq Brazil Phd Scholarship	2	0.024
Cnrs Insu Institut Des Sciences De L Univers Through The Lefe Idao Program	2	0.024
Compute Canada	2	0.024
Conicet Ypf	2	0.024
Conselleria D Educacio Cultura I Universitat Local Government Of The Balearic Islands	2	0.024
Consumer Option For An Alternative System To Allocate Losses Coastal Act Project Within National Oceanic And Atmospheric Administration Noaa	2	0.024
Cooperative Institute For Marine And Atmospheric Studies Cimas	2	0.024
Cooperative Institute For Marine And Atmospheric Studies Cimas University Of Miami	2	0.024
Copernicus Marine Environment Monitoring Service Cmems	2	0.024
Cprm	2	0.024
Croatian Science Foundation	2	0.024
Csa	2	0.024
Csiro Oceans And Atmosphere	2	0.024
Csiro Through The Australian Climate Change Science Programme	2	0.024
Curtin University	2	0.024
Czech Republic Government	2	0.024
Daad Thematic Network Project	2	0.024
Danida Fellowship Centre	2	0.024
Danida Fellowship Centre Eoforchina Project	2	0.024
Dawn Scholar Of Shanghai Program	2	0.024
Defence Research Development Organisation Drdo	2	0.024
Department Of Climate Change	2	0.024
Department Of Earth Atmospheric And Planetary Sciences In Mit	2	0.024
Department Of Environment Regional Planning Agriculture And Fisheries Of The Basque Government Marco Program	2	0.024
Department Of Geosciences University Of Oslo	2	0.024
Dfg Through The Senate Commission On Oceanography	2	0.024
Dga	2	0.024
Disi Australia China Centre	2	0.024
Dpc	2	0.024
Eads Astrium	2	0.024
Earth System Science Organisation Ministry Of Earth Sciences Government Of India	2	0.024
Esa Climate Change Initiative For Sea State Project	2	0.024
Esa Globcurrent Project	2	0.024
Esa Npi	2	0.024
Esa Project	2	0.024
Eu H2020 Triatlas Project	2	0.024
Eumetsat	2	0.024
Eumetsat Cnes	2	0.024
European Cooperation In Science And Technology Cost	2	0.024
European Framework Programs	2	0.024
European Heads Of Research Councils	2	0.024
European Organization For The Exploitation Of Meteorological Satellites Eumetsat Centre National De La Recherche Spatial Cnes	2	0.024
European Regional Development Fund Aei Feder Ue	2	0.024
European Regional Development Fund Erdf Through The Compete Operational Competitiveness Program	2	0.024
European Space Agency Esa Through The Sentinel 3 Mission Performance Centre	2	0.024
European Space Agency Esa Within The Climate Change Initiative Sea Level Phase 2 Project	2	0.024
European Space Agency Project Smos Sea Ice	2	0.024
European Space Agency Through Esa Esrin Due Globcurrent Project	2	0.024
European Space Agency Within The Climate Change Initiative Sea Level Project	2	0.024
European Union S H2020 Framework Programme H2020 Infraia 2014 2015 Jerico Next Grant	2	0.024
European Union S Horizon Research And Innovation Programme	2	0.024
European Union S Interreg V A Espana Portugal Poctep 2014 2020 Project Ocaso	2	0.024
European Union S Seventh Framework Program	2	0.024
Faso Russia	2	0.024
Feder Funds European Union Through The Operational Programme For Competitiveness Factors Compete	2	0.024
Fisheries Research Agency Japan	2	0.024
Flag Era Project Futurict2 0	2	0.024
Fp7 Regpot 2008 1 Sofia	2	0.024
French Cnes Tosca Sickays	2	0.024
French National Programme Ec2co Biohefect Regime D Alteration Erosion En Afrique Centrale Ralterac	2	0.024
French Space Agency Cnes Centre National D Etudes Spatiales	2	0.024
Fujian Collaborative Innovation Center For Big Data Applications In Governments	2	0.024
Fulbright Foundation	2	0.024
Fundacion General Csic Programa Comfuturo	2	0.024
Fundamental Research Funds For The Central Universities Chd	2	0.024
Fundamental Research Funds For The Central University Of Ministry Education Of China	2	0.024
Fundamental Research Grant Scheme Ministry Of Education Malaysia	2	0.024
Future Star Program Of The Chinese Academy Of Sciences	2	0.024
Gc Ras	2	0.024
Genci	2	0.024
General Atomics Aeronautical Systems Inc Ga Asi	2	0.024
General Research Fund Of Hong Kong Research Grants Council Rgc	2	0.024
Generalitat De Catalunya	2	0.024
German Academic Exchange Service Daad Thematic Network Project	2	0.024
German Federal Ministry For Economics And Technology	2	0.024
Global Change And Air Sea Interaction	2	0.024
Global Change And Air Sea Interaction Project Of China	2	0.024
Goddard Space Flight Center Gsfc	2	0.024
Goddard Space Flight Center Nasa	2	0.024
Government Of Canada Program World Class Prevention Preparedness And Response For Oil Spills From Ships Initiative	2	0.024
Government Of Canada S Networks Of Centers Of Excellence Program	2	0.024
Great Western Research Fellowship	2	0.024
Greek Ministry Of Development Gsrt	2	0.024
